	z-dna_#	z-dna.slop100_#	z-dna.slop200_#	z-dna_%	z-dna.slop100_%	z-dna.slop200_%	quadruplex_#	quadruplex.slop100_#	quadruplex.slop200_#	quadruplex_%	quadruplex.slop100_%	quadruplex.slop200_%	sidd_#	sidd.slop100_#	sidd.slop200_#	sidd_%	sidd.slop100_%	sidd.slop200_%	h-dna_#	h-dna.slop100_#	h-dna.slop200_#	h-dna_%	h-dna.slop100_%	h-dna.slop200_%
let-7/miR-98	0	205	449	0.0	0.818069356319087	1.791771419450098	8	264	503	0.039500320940107636	1.303510591023552	2.483582679109268	57	258	403	0.3726464435146444	1.6867154811715481	2.6346757322175733	26	311	536	0.15204678362573099	1.8187134502923978	3.134502923976608
miR-1/206	1	172	382	0.003990582225946766	0.6863801428628437	1.5244024103116645	16	253	437	0.07900064188021527	1.249197649730904	2.1577050313533794	139	386	519	0.908734309623431	2.5235355648535567	3.3930439330543933	0	138	328	0.0	0.8070175438596492	1.9181286549707601
miR-7	0	261	603	0.0	1.041541960972106	2.4063210822459	9	250	516	0.0444378610576211	1.2343850293783636	2.547770700636943	59	273	507	0.38572175732217573	1.7847803347280335	3.314592050209205	5	237	506	0.029239766081871347	1.3859649122807018	2.9590643274853803
miR-9	0	195	471	0.0	0.7781635340596194	1.8795642284209264	1	273	841	0.0049375401175134545	1.3479484520811733	4.152471238828816	136	436	1129	0.889121338912134	2.8504184100418413	7.381014644351465	2	187	532	0.011695906432748539	1.0935672514619883	3.111111111111111
miR-10	2	247	543	0.007981164451893532	0.9856738098088511	2.166886148689094	36	367	726	0.1777514442304844	1.8120772231274378	3.584654125314768	53	306	515	0.34649581589958156	2.0005230125523012	3.366893305439331	0	160	383	0.0	0.9356725146198831	2.239766081871345
miR-22	0	636	1285	0.0	2.538010295702143	5.127898160341593	26	570	1078	0.12837604305534983	2.8143978669826692	5.3226682466795046	63	261	571	0.41187238493723854	1.706328451882845	3.733002092050209	0	201	473	0.0	1.1754385964912282	2.7660818713450293
miR-25/32/92/363/367	11	92	214	0.043896404485414424	0.36713356478710246	0.8539845963526079	0	57	148	0.0	0.28143978669826697	0.7307559373919913	49	154	236	0.32034518828451886	1.0067991631799162	1.542887029288703	0	36	118	0.0	0.21052631578947367	0.6900584795321637
miR-29	0	494	1032	0.0	1.9713476196177022	4.118280857177062	1	265	608	0.0049375401175134545	1.3084481311410654	3.0020243914481806	78	326	577	0.5099372384937239	2.131276150627615	3.7722280334728033	0	163	385	0.0	0.9532163742690059	2.2514619883040936
miR-31	2	283	590	0.007981164451893532	1.1293347699429346	2.3544435133085915	17	331	590	0.08393818199772873	1.6343257788969536	2.913148669332938	63	294	459	0.41187238493723854	1.922071129707113	3.0007845188284517	3	303	566	0.017543859649122806	1.7719298245614035	3.3099415204678366
miR-33	1	170	329	0.003990582225946766	0.6783989784109502	1.312901552336486	2	116	264	0.009875080235026909	0.5727546536315608	1.303510591023552	107	247	376	0.6995292887029289	1.6148012552301256	2.4581589958158996	0	91	226	0.0	0.5321637426900585	1.3216374269005848
