Flipon	Coordinates	cCRE (+-200bp)
g4	chr1:3671869-3671902	pELS (CTCF-bound)@EM10E0431220
g4	chr1:4493714-4493748	dELS@EM10E0431244
g4	chr1:4571896-4571924	dELS (CTCF-bound)@EM10E0431262
g4	chr1:5018367-5018390	DNase-H3K4me3 (CTCF-bound)@EM10E0431331, PLS@EM10E0431332
g4	chr1:5019245-5019272	pELS@EM10E0431333, PLS (CTCF-bound)@EM10E0431334
g4	chr1:6383106-6383131	PLS (CTCF-bound)@EM10E0431418, PLS@EM10E0431419
g4	chr1:6383197-6383226	PLS (CTCF-bound)@EM10E0431418, PLS@EM10E0431419
g4	chr1:6441349-6441369	PLS@EM10E0431427, pELS@EM10E0431428
g4	chr1:9299267-9299293	PLS@EM10E0431574
g4	chr1:9967638-9967670	PLS@EM10E0431749, pELS@EM10E0431750, PLS@EM10E0431751
g4	chr1:11414405-11414430	PLS (CTCF-bound)@EM10E0431901, PLS (CTCF-bound)@EM10E0431902
g4	chr1:12842036-12842060	dELS@EM10E0432007
g4	chr1:14506816-14506880	dELS@EM10E0432322, dELS@EM10E0432323
g4	chr1:14756094-14756120	PLS@EM10E0432344
g4	chr1:15892322-15892351	PLS@EM10E0432402
g4	chr1:15892414-15892436	PLS@EM10E0432402
g4	chr1:15892730-15892753	PLS@EM10E0432402, pELS@EM10E0432403
g4	chr1:15892797-15892832	PLS@EM10E0432402, pELS@EM10E0432403
g4	chr1:16093043-16093072	pELS@EM10E0432420, PLS@EM10E0432421
g4	chr1:17097081-17097104	pELS (CTCF-bound)@EM10E0432547, pELS@EM10E0432548
g4	chr1:17097910-17097937	PLS@EM10E0432550
g4	chr1:17097966-17098006	PLS@EM10E0432550
g4	chr1:19104891-19104915	pELS@EM10E0432627
g4	chr1:22805426-22805460	pELS@EM10E0432984, pELS@EM10E0432985
g4	chr1:22806070-22806115	PLS@EM10E0432986, pELS@EM10E0432987
g4	chr1:22806158-22806189	PLS@EM10E0432986, pELS@EM10E0432987
g4	chr1:23256334-23256362	pELS (CTCF-bound)@EM10E0433027
g4	chr1:23761872-23761899	PLS@EM10E0433094, PLS (CTCF-bound)@EM10E0433095
g4	chr1:23762467-23762498	pELS (CTCF-bound)@EM10E0433096, pELS (CTCF-bound)@EM10E0433097
g4	chr1:23763250-23763298	pELS (CTCF-bound)@EM10E0433098, pELS@EM10E0433099
g4	chr1:25829829-25829846	PLS@EM10E0433303
g4	chr1:25829996-25830019	PLS@EM10E0433303, pELS (CTCF-bound)@EM10E0433304
g4	chr1:25830337-25830390	pELS (CTCF-bound)@EM10E0433304, PLS@EM10E0433305
g4	chr1:25830398-25830433	pELS (CTCF-bound)@EM10E0433304, PLS@EM10E0433305
g4	chr1:33907594-33907623	PLS (CTCF-bound)@EM10E0433615
g4	chr1:33908188-33908217	PLS@EM10E0433616, PLS@EM10E0433617
g4	chr1:34011502-34011524	pELS (CTCF-bound)@EM10E0433653, pELS (CTCF-bound)@EM10E0433654
g4	chr1:34012076-34012094	pELS@EM10E0433655
g4	chr1:34236630-34236659	dELS (CTCF-bound)@EM10E0433774
g4	chr1:34580090-34580119	pELS@EM10E0433877, pELS (CTCF-bound)@EM10E0433878
g4	chr1:34751108-34751137	pELS (CTCF-bound)@EM10E0433912, pELS@EM10E0433913
g4	chr1:36012173-36012203	pELS@EM10E0434135
g4	chr1:36018871-36018907	dELS@EM10E0434147
g4	chr1:36512331-36512357	pELS@EM10E0434364, pELS@EM10E0434365
g4	chr1:36556577-36556603	pELS@EM10E0434406
g4	chr1:36557280-36557301	pELS (CTCF-bound)@EM10E0434407, PLS (CTCF-bound)@EM10E0434408
g4	chr1:36558429-36558460	PLS (CTCF-bound)@EM10E0434410
g4	chr1:37719191-37719216	pELS (CTCF-bound)@EM10E0434926, pELS@EM10E0434927
g4	chr1:37720330-37720355	pELS@EM10E0434930
g4	chr1:39192248-39192304	pELS (CTCF-bound)@EM10E0435325
g4	chr1:39192880-39192901	pELS (CTCF-bound)@EM10E0435326
g4	chr1:39193129-39193150	pELS (CTCF-bound)@EM10E0435326, pELS (CTCF-bound)@EM10E0435327
g4	chr1:39193461-39193490	pELS (CTCF-bound)@EM10E0435327, pELS@EM10E0435328
g4	chr1:39194098-39194130	PLS (CTCF-bound)@EM10E0435329
g4	chr1:39478751-39478775	PLS@EM10E0435467, PLS (CTCF-bound)@EM10E0435468
g4	chr1:39721029-39721054	PLS (CTCF-bound)@EM10E0435571, PLS@EM10E0435572
g4	chr1:40326226-40326255	DNase-H3K4me3@EM10E0435838, DNase-H3K4me3@EM10E0435839
g4	chr1:40475564-40475597	dELS@EM10E0435893
g4	chr1:40475606-40475625	dELS@EM10E0435893
g4	chr1:40681525-40681564	PLS@EM10E0435927, pELS@EM10E0435928, pELS@EM10E0435926
g4	chr1:41157699-41157732	dELS@EM10E0436008
g4	chr1:42684460-42684493	dELS (CTCF-bound)@EM10E0436153, dELS@EM10E0436154
g4	chr1:42694642-42694664	pELS (CTCF-bound)@EM10E0436173, PLS (CTCF-bound)@EM10E0436174
g4	chr1:42694863-42694878	PLS (CTCF-bound)@EM10E0436174, PLS@EM10E0436175
g4	chr1:42696991-42697018	pELS@EM10E0436178
g4	chr1:42697027-42697057	pELS@EM10E0436178
g4	chr1:42714589-42714639	pELS (CTCF-bound)@EM10E0436212
g4	chr1:42953243-42953282	pELS@EM10E0436251, pELS@EM10E0436252
g4	chr1:42953598-42953626	pELS@EM10E0436252
g4	chr1:43730533-43730556	PLS (CTCF-bound)@EM10E0436539
g4	chr1:43730772-43730793	PLS (CTCF-bound)@EM10E0436539
g4	chr1:50927071-50927104	pELS (CTCF-bound)@EM10E0436920, PLS (CTCF-bound)@EM10E0436921
g4	chr1:54194537-54194560	pELS (CTCF-bound)@EM10E0437589, pELS@EM10E0437590
g4	chr1:55362829-55362851	PLS@EM10E0437902
g4	chr1:55406664-55406684	pELS@EM10E0437911, pELS@EM10E0437912
g4	chr1:56969875-56969915	pELS@EM10E0438055, PLS@EM10E0438056
g4	chr1:56971882-56971910	PLS@EM10E0438058, pELS@EM10E0438059
g4	chr1:56971953-56972004	pELS@EM10E0438059, PLS (CTCF-bound)@EM10E0438060
g4	chr1:57775369-57775395	pELS (CTCF-bound)@EM10E0438211, pELS (CTCF-bound)@EM10E0438212
g4	chr1:58974049-58974070	pELS (CTCF-bound)@EM10E0438561, pELS@EM10E0438562
g4	chr1:59482078-59482100	pELS (CTCF-bound)@EM10E0438763, PLS (CTCF-bound)@EM10E0438764
g4	chr1:59508739-59508767	dELS@EM10E0438787
g4	chr1:59763954-59763982	pELS@EM10E0438891, pELS@EM10E0438892
g4	chr1:60043143-60043168	PLS@EM10E0438971, PLS@EM10E0438972, pELS (CTCF-bound)@EM10E0438973
g4	chr1:60043589-60043604	pELS (CTCF-bound)@EM10E0438973
g4	chr1:60410037-60410058	pELS (CTCF-bound)@EM10E0439021
g4	chr1:60566347-60566372	pELS@EM10E0439043, pELS (CTCF-bound)@EM10E0439044
g4	chr1:60566572-60566594	pELS (CTCF-bound)@EM10E0439044, PLS (CTCF-bound)@EM10E0439045
g4	chr1:60566733-60566758	PLS (CTCF-bound)@EM10E0439045
g4	chr1:60567138-60567160	PLS (CTCF-bound)@EM10E0439045, pELS (CTCF-bound)@EM10E0439046
g4	chr1:61639068-61639093	PLS (CTCF-bound)@EM10E0439372, PLS (CTCF-bound)@EM10E0439373
g4	chr1:63248415-63248446	pELS@EM10E0439713, PLS@EM10E0439714, pELS@EM10E0439715
g4	chr1:63273029-63273052	pELS@EM10E0439732, PLS@EM10E0439733
g4	chr1:63273138-63273172	pELS@EM10E0439732, PLS@EM10E0439733
g4	chr1:63273679-63273716	PLS@EM10E0439734, pELS@EM10E0439735, pELS@EM10E0439736
g4	chr1:63309578-63309620	DNase-H3K4me3@EM10E0439740
g4	chr1:63309668-63309719	DNase-H3K4me3@EM10E0439740
g4	chr1:63445686-63445710	PLS (CTCF-bound)@EM10E0439756
g4	chr1:63446067-63446097	PLS (CTCF-bound)@EM10E0439756, pELS (CTCF-bound)@EM10E0439757
g4	chr1:63446138-63446164	PLS (CTCF-bound)@EM10E0439756, pELS (CTCF-bound)@EM10E0439757
g4	chr1:64736992-64737024	pELS@EM10E0440062, pELS@EM10E0440063
g4	chr1:66175219-66175254	PLS@EM10E0440252
g4	chr1:66468275-66468296	PLS@EM10E0440297
g4	chr1:69107274-69107292	pELS@EM10E0440462
g4	chr1:69107580-69107607	PLS@EM10E0440463
g4	chr1:69107848-69107879	PLS@EM10E0440464, PLS@EM10E0440463
g4	chr1:69687433-69687450	PLS@EM10E0440558
g4	chr1:69687479-69687497	PLS@EM10E0440558
g4	chr1:69687726-69687762	PLS@EM10E0440558, pELS@EM10E0440559
g4	chr1:72536491-72536521	pELS (CTCF-bound)@EM10E0440958, pELS@EM10E0440959
g4	chr1:72824360-72824407	pELS@EM10E0441060, PLS@EM10E0441061
g4	chr1:72873719-72873744	pELS@EM10E0441094, pELS (CTCF-bound)@EM10E0441095
g4	chr1:73986564-73986588	dELS (CTCF-bound)@EM10E0441351
g4	chr1:74014947-74014990	dELS@EM10E0441378, dELS@EM10E0441379
g4	chr1:74068167-74068195	dELS@EM10E0441430
g4	chr1:74068563-74068587	dELS@EM10E0441431, dELS@EM10E0441432
g4	chr1:74068716-74068738	dELS@EM10E0441431, dELS@EM10E0441432
g4	chr1:74099397-74099437	dELS@EM10E0441465
g4	chr1:74099632-74099683	dELS@EM10E0441465
g4	chr1:74099697-74099725	dELS@EM10E0441466
g4	chr1:74124677-74124733	PLS (CTCF-bound)@EM10E0441487, pELS (CTCF-bound)@EM10E0441488
g4	chr1:74148986-74149018	dELS@EM10E0441495
g4	chr1:74409048-74409083	pELS (CTCF-bound)@EM10E0441675, PLS@EM10E0441676
g4	chr1:74771585-74771602	pELS@EM10E0441777, DNase-H3K4me3@EM10E0441778
g4	chr1:74771716-74771736	DNase-H3K4me3@EM10E0441778
g4	chr1:74771816-74771849	DNase-H3K4me3@EM10E0441778, pELS@EM10E0441779
g4	chr1:74771858-74771885	DNase-H3K4me3@EM10E0441778, pELS@EM10E0441779
g4	chr1:74772049-74772086	pELS@EM10E0441779
g4	chr1:74782413-74782441	dELS@EM10E0441790
g4	chr1:74784104-74784134	DNase-H3K4me3 (CTCF-bound)@EM10E0441793, DNase-H3K4me3 (CTCF-bound)@EM10E0441794
g4	chr1:74791948-74791979	pELS@EM10E0441801
g4	chr1:74856225-74856246	pELS@EM10E0441854, pELS@EM10E0441855
g4	chr1:74856394-74856416	pELS@EM10E0441855
g4	chr1:74882711-74882733	DNase-H3K4me3@EM10E0441870, DNase-H3K4me3@EM10E0441871
g4	chr1:74885217-74885261	pELS@EM10E0441874, PLS@EM10E0441875
g4	chr1:74885361-74885393	PLS@EM10E0441875
g4	chr1:74885494-74885518	PLS@EM10E0441875, DNase-H3K4me3@EM10E0441876
g4	chr1:74885573-74885601	PLS@EM10E0441875, DNase-H3K4me3@EM10E0441876
g4	chr1:74885819-74885847	DNase-H3K4me3@EM10E0441876
g4	chr1:74898914-74898936	pELS@EM10E0441886
g4	chr1:74900884-74900905	pELS@EM10E0441889
g4	chr1:74948249-74948287	DNase-H3K4me3@EM10E0441902
g4	chr1:74951110-74951138	pELS@EM10E0441908, pELS (CTCF-bound)@EM10E0441909
g4	chr1:74951511-74951557	pELS (CTCF-bound)@EM10E0441909, PLS@EM10E0441910, PLS (CTCF-bound)@EM10E0441911
g4	chr1:74951850-74951875	PLS (CTCF-bound)@EM10E0441911, pELS (CTCF-bound)@EM10E0441912
g4	chr1:75264074-75264106	PLS (CTCF-bound)@EM10E0442052
g4	chr1:75361013-75361048	pELS@EM10E0442090
g4	chr1:75375932-75375963	pELS@EM10E0442103
g4	chr1:75381893-75381923	pELS (CTCF-bound)@EM10E0442107, PLS@EM10E0442108
g4	chr1:75382044-75382071	PLS@EM10E0442108
g4	chr1:75382084-75382113	PLS@EM10E0442108
g4	chr1:75382178-75382224	PLS@EM10E0442108, pELS (CTCF-bound)@EM10E0442109
g4	chr1:75382401-75382430	PLS@EM10E0442108, pELS (CTCF-bound)@EM10E0442109
g4	chr1:75387961-75387991	dELS@EM10E0442114, dELS@EM10E0442115
g4	chr1:75388561-75388592	dELS (CTCF-bound)@EM10E0442116, dELS (CTCF-bound)@EM10E0442117
g4	chr1:75422693-75422717	dELS@EM10E0442138, dELS@EM10E0442139
g4	chr1:75446973-75447002	dELS@EM10E0442165
g4	chr1:75450326-75450345	PLS@EM10E0442172, PLS@EM10E0442173
g4	chr1:75486471-75486493	DNase-H3K4me3 (CTCF-bound)@EM10E0442208
g4	chr1:75505513-75505540	pELS (CTCF-bound)@EM10E0442222, pELS (CTCF-bound)@EM10E0442223
g4	chr1:75546187-75546211	PLS@EM10E0442246, PLS (CTCF-bound)@EM10E0442247
g4	chr1:75546270-75546293	PLS@EM10E0442246, PLS (CTCF-bound)@EM10E0442247
g4	chr1:75546316-75546348	PLS@EM10E0442246, PLS (CTCF-bound)@EM10E0442247
g4	chr1:75546632-75546652	PLS (CTCF-bound)@EM10E0442247, pELS (CTCF-bound)@EM10E0442248
g4	chr1:75546688-75546711	PLS (CTCF-bound)@EM10E0442247, pELS (CTCF-bound)@EM10E0442248
g4	chr1:75546934-75546972	pELS (CTCF-bound)@EM10E0442248
g4	chr1:75557224-75557245	DNase-H3K4me3@EM10E0442254
g4	chr1:77515221-77515244	PLS@EM10E0442502, pELS (CTCF-bound)@EM10E0442503
g4	chr1:78196878-78196903	PLS@EM10E0442617, PLS@EM10E0442618
g4	chr1:78216765-78216789	dELS (CTCF-bound)@EM10E0442640, dELS@EM10E0442641
g4	chr1:78217114-78217142	dELS@EM10E0442641, dELS (CTCF-bound)@EM10E0442642
g4	chr1:78309976-78310001	pELS@EM10E0442649, PLS@EM10E0442650
g4	chr1:79786510-79786535	CTCF-only (CTCF-bound)@EM10E0442909
g4	chr1:79858694-79858729	PLS (CTCF-bound)@EM10E0442929
g4	chr1:82290707-82290729	pELS@EM10E0443261, pELS (CTCF-bound)@EM10E0443262, pELS (CTCF-bound)@EM10E0443263
g4	chr1:82291278-82291330	pELS (CTCF-bound)@EM10E0443263, PLS (CTCF-bound)@EM10E0443264, PLS (CTCF-bound)@EM10E0443265
g4	chr1:82291648-82291678	PLS (CTCF-bound)@EM10E0443265
g4	chr1:82291770-82291804	PLS (CTCF-bound)@EM10E0443265
g4	chr1:82291861-82291897	PLS (CTCF-bound)@EM10E0443265, pELS@EM10E0443266
g4	chr1:82291962-82291994	PLS (CTCF-bound)@EM10E0443265, pELS@EM10E0443266
g4	chr1:82587094-82587115	PLS@EM10E0443317, pELS@EM10E0443318
g4	chr1:83407693-83407717	pELS (CTCF-bound)@EM10E0443517
g4	chr1:84284212-84284241	PLS (CTCF-bound)@EM10E0443586
g4	chr1:84284709-84284729	PLS (CTCF-bound)@EM10E0443587
g4	chr1:84695664-84695722	PLS (CTCF-bound)@EM10E0443656
g4	chr1:84695881-84695911	PLS (CTCF-bound)@EM10E0443656, PLS (CTCF-bound)@EM10E0443657
g4	chr1:86670689-86670725	PLS (CTCF-bound)@EM10E0444285, pELS@EM10E0444286
g4	chr1:87155653-87155694	pELS@EM10E0444371, PLS@EM10E0444372
g4	chr1:87156192-87156219	PLS@EM10E0444372, PLS@EM10E0444373
g4	chr1:87170499-87170528	dELS@EM10E0444376
g4	chr1:87170648-87170674	dELS@EM10E0444376
g4	chr1:87185093-87185129	DNase-H3K4me3 (CTCF-bound)@EM10E0444389
g4	chr1:87186812-87186833	DNase-H3K4me3@EM10E0444392, DNase-H3K4me3@EM10E0444393, DNase-H3K4me3 (CTCF-bound)@EM10E0444394
g4	chr1:87264295-87264316	PLS@EM10E0444421, pELS@EM10E0444422
g4	chr1:87475750-87475768	dELS@EM10E0444472
g4	chr1:87510540-87510568	PLS (CTCF-bound)@EM10E0444479
g4	chr1:87510658-87510680	PLS (CTCF-bound)@EM10E0444479
g4	chr1:89070699-89070725	pELS (CTCF-bound)@EM10E0445053, pELS (CTCF-bound)@EM10E0445054
g4	chr1:89070768-89070798	pELS (CTCF-bound)@EM10E0445053, pELS (CTCF-bound)@EM10E0445054
