Flipon	Coordinates	Gene Name	Gene Strand	Gene Feature
g4	chr1:3014794-3014871	4933401J01Rik	+	Distal Intergenic
g4	chr1:3099888-3099963	Gm26206	+	Promoter (2-3kb)
g4	chr1:3287445-3287468	Gm18956	+	Intron
g4	chr1:3472953-3472969	Gm37686	-	Intron
g4	chr1:3535948-3535996	Gm7341	+	Intron
g4	chr1:3589198-3589237	Gm38148	-	Intron
g4	chr1:3654228-3654253	Gm19938	-	Intron
g4	chr1:3671869-3671902	Xkr4	-	Promoter (<=1kb)
g4	chr1:3791949-3792000	Gm27396	-	Distal Intergenic
g4	chr1:4296728-4296776	Gm6101	-	Intron
g4	chr1:4493714-4493748	Sox17	-	Promoter (<=1kb)
g4	chr1:4571896-4571924	Gm37323	-	Distal Intergenic
g4	chr1:4637449-4637475	Gm7369	+	Distal Intergenic
g4	chr1:4705857-4705879	Gm6119	-	Distal Intergenic
g4	chr1:4788659-4788684	Mrpl15	-	Promoter (2-3kb)
g4	chr1:5018367-5018390	Rgs20	-	Promoter (<=1kb)
g4	chr1:5019245-5019272	Rgs20	-	Promoter (<=1kb)
g4	chr1:5046614-5046637	Gm17101	+	Intron
g4	chr1:5170920-5170946	Atp6v1h	+	Distal Intergenic
g4	chr1:5369144-5369170	Gm38264	+	Distal Intergenic
g4	chr1:5645302-5645319	Gm22463	-	Promoter (<=1kb)
g4	chr1:6301797-6301834	Rb1cc1	+	Distal Intergenic
g4	chr1:6383106-6383131	Gm7417	-	Promoter (<=1kb)
g4	chr1:6383197-6383226	Gm7417	-	Promoter (<=1kb)
g4	chr1:6441349-6441369	Gm19026	-	Promoter (<=1kb)
g4	chr1:6500563-6500611	St18	+	Intron
g4	chr1:6548020-6548050	St18	+	Intron
g4	chr1:6886783-6886808	Gm42492	-	Distal Intergenic
g4	chr1:7348420-7348447	Gm26901	-	Distal Intergenic
g4	chr1:7524224-7524272	Gm30414	+	Distal Intergenic
g4	chr1:7653981-7654019	Rps2-ps2	+	Distal Intergenic
g4	chr1:7668588-7668616	Rps2-ps2	+	Distal Intergenic
g4	chr1:7741984-7742014	Gm38216	-	Distal Intergenic
g4	chr1:7892492-7892511	Gm38216	-	Distal Intergenic
g4	chr1:7967705-7967746	Gm38216	-	Distal Intergenic
g4	chr1:7979959-7980025	Gm38216	-	Distal Intergenic
g4	chr1:8033908-8033974	Gm38216	-	Distal Intergenic
g4	chr1:8155926-8155961	Gm38024	-	Distal Intergenic
g4	chr1:8156147-8156172	Gm38024	-	Distal Intergenic
g4	chr1:8471071-8471104	Sntg1	-	Promoter (<=1kb)
g4	chr1:8515618-8515668	Gm38259	-	Intron
g4	chr1:8794675-8794706	Gm15452	-	Promoter (2-3kb)
g4	chr1:8939157-8939173	Sntg1	-	Intron
g4	chr1:8969550-8969598	Gm7493	-	Intron
g4	chr1:8982988-8983034	Gm7493	-	Intron
g4	chr1:8999527-8999557	Gm7493	-	Intron
g4	chr1:9200365-9200393	Gm37629	-	Intron
g4	chr1:9264336-9264356	Gm38008	-	Intron
g4	chr1:9299267-9299293	Sntg1	-	Promoter (<=1kb)
g4	chr1:9314107-9314132	Sntg1	-	Distal Intergenic
g4	chr1:9414116-9414146	Gm6187	-	Distal Intergenic
g4	chr1:9967638-9967670	Tcf24	-	Promoter (<=1kb)
g4	chr1:10674699-10674738	Gm15603	+	Intron
