"geneId"	"seqnames"	"start"	"end"	"geneStrand"	"annotation"	"group"	"gene_name"
"ENSMUSG00000000031.16"	"chr7"	142578469	142578571	2	"Promoter (<=1kb)"	"sidd"	"H19"
"ENSMUSG00000000037.17"	"chrX"	161216709	161216853	1	"Intron (ENSMUST00000101113.8/ENSMUSG00000000037.17, intron 14 of 22)"	"sidd"	"Scml2"
"ENSMUSG00000000120.6"	"chr11"	95573505	95573647	2	"Intron (ENSMUST00000000122.6/ENSMUSG00000000120.6, intron 4 of 5)"	"sidd"	"Ngfr"
"ENSMUSG00000000126.11"	"chr11"	59307373	59307527	1	"Promoter (<=1kb)"	"sidd"	"Wnt9a"
"ENSMUSG00000000127.15"	"chr17"	63792986	63793092	1	"Distal Intergenic"	"sidd"	"Fer"
"ENSMUSG00000000142.15"	"chr11"	108891893	108892006	1	"Distal Intergenic"	"sidd"	"Axin2"
"ENSMUSG00000000168.9"	"chr9"	50654227	50654352	2	"Intron (ENSMUST00000034567.3/ENSMUSG00000000168.9, intron 4 of 13)"	"sidd"	"Dlat"
"ENSMUSG00000000197.8"	"chr14"	123319679	123319801	2	"Intron (ENSMUST00000000201.6/ENSMUSG00000000197.8, intron 22 of 43)"	"sidd"	"Nalcn"
"ENSMUSG00000000214.11"	"chr7"	142877518	142877666	2	"Distal Intergenic"	"sidd"	"Th"
"ENSMUSG00000000263.15"	"chr11"	55608029	55608122	2	"Promoter (<=1kb)"	"sidd"	"Glra1"
"ENSMUSG00000000266.11"	"chrX"	140726214	140726327	1	"Intron (ENSMUST00000112990.7/ENSMUSG00000000266.11, intron 3 of 9)"	"sidd"	"Mid2"
"ENSMUSG00000000305.12"	"chr2"	179435329	179435536	1	"Distal Intergenic"	"sidd"	"Cdh4"
"ENSMUSG00000000325.16"	"chr16"	18349126	18349244	1	"Promoter (<=1kb)"	"sidd"	"Arvcf"
"ENSMUSG00000000359.3"	"chr2"	152634897	152635036	1	"Promoter (1-2kb)"	"sidd"	"Rem1"
"ENSMUSG00000000365.9"	"chr14"	56440257	56440490	1	"Intron (ENSMUST00000095793.2/ENSMUSG00000000365.9, intron 10 of 36)"	"sidd"	"Rnf17"
"ENSMUSG00000000385.8"	"chr16"	97585432	97585550	2	"Intron (ENSMUST00000000395.7/ENSMUSG00000000385.8, intron 5 of 13)"	"sidd"	"Tmprss2"
"ENSMUSG00000000392.17"	"chr2"	62555312	62555446	2	"Intron (ENSMUST00000102732.9/ENSMUSG00000000392.17, intron 3 of 25)"	"sidd"	"Fap"
"ENSMUSG00000000416.16"	"chr6"	18429576	18429783	2	"Promoter (1-2kb)"	"sidd"	"Cttnbp2"
"ENSMUSG00000000544.14"	"chr1"	166147677	166147814	1	"Intron (ENSMUST00000060833.13/ENSMUSG00000000544.14, intron 2 of 6)"	"sidd"	"Gpa33"
"ENSMUSG00000000560.9"	"chr5"	71250834	71251003	2	"Distal Intergenic"	"sidd"	"Gabra2"
"ENSMUSG00000000690.5"	"chr11"	96290996	96291144	1	"Promoter (1-2kb)"	"sidd"	"Hoxb6"
"ENSMUSG00000000782.16"	"chr11"	52282293	52282389	2	"Promoter (<=1kb)"	"sidd"	"Tcf7"
"ENSMUSG00000000884.17"	"chr16"	18554791	18554950	1	"Intron (ENSMUST00000231621.1/ENSMUSG00000000884.17, intron 7 of 7)"	"sidd"	"Gnb1l"
"ENSMUSG00000000916.15"	"chr5"	135367919	135368032	1	"Promoter (1-2kb)"	"sidd"	"Nsun5"
"ENSMUSG00000001120.15"	"chr10"	76863574	76863694	2	"Intron (ENSMUST00000001148.10/ENSMUSG00000001120.15, intron 2 of 15)"	"sidd"	"Pcbp3"
"ENSMUSG00000001225.12"	"chr12"	31457792	31457921	1	"Intron (ENSMUST00000171616.7/ENSMUSG00000001225.12, intron 11 of 19)"	"sidd"	"Slc26a3"
"ENSMUSG00000001249.14"	"chr7"	31116483	31116593	2	"Promoter (1-2kb)"	"sidd"	"Hpn"
"ENSMUSG00000001260.10"	"chr5"	70866894	70867127	2	"Distal Intergenic"	"sidd"	"Gabrg1"
"ENSMUSG00000001288.15"	"chr15"	102244723	102244836	2	"Promoter (<=1kb)"	"sidd"	"Rarg"
"ENSMUSG00000001376.17"	"chr6"	3558578	3558703	1	"Promoter (<=1kb)"	"sidd"	"Vps50"
"ENSMUSG00000001424.14"	"chr6"	28473073	28473246	1	"Promoter (1-2kb)"	"sidd"	"Snd1"
"ENSMUSG00000001435.15"	"chr10"	77211808	77211965	2	"Distal Intergenic"	"sidd"	"Col18a1"
"ENSMUSG00000001444.2"	"chr11"	97114508	97114576	2	"Promoter (<=1kb)"	"sidd"	"Tbx21"
"ENSMUSG00000001467.5"	"chr5"	4140912	4141058	2	"Distal Intergenic"	"sidd"	"Cyp51"
"ENSMUSG00000001496.15"	"chr12"	56536953	56537065	2	"Promoter (<=1kb)"	"sidd"	"Nkx2-1"
"ENSMUSG00000001504.10"	"chr13"	72632141	72632254	1	"Promoter (<=1kb)"	"sidd"	"Irx2"
"ENSMUSG00000001510.8"	"chr11"	95125210	95125327	1	"3' UTR"	"sidd"	"Dlx3"
"ENSMUSG00000001566.9"	"chr5"	29467353	29467486	2	"Distal Intergenic"	"sidd"	"Mnx1"
"ENSMUSG00000001655.6"	"chr15"	102911543	102911683	1	"Distal Intergenic"	"sidd"	"Hoxc13"
"ENSMUSG00000001804.9"	"chr18"	20423050	20423225	1	"Distal Intergenic"	"sidd"	"Dsg4"
