Gene ID	Gene Name	Gene Type	g4	h-dna	sidd	z-dna	Flipon types
ENSMUSG00000096150.1	Ighv1-85	IG_V_gene		3.0			H
ENSMUSG00000076545.2	Igkv4-72	IG_V_gene				1.0	Z
ENSMUSG00000094051.6	Ighv1-36	IG_V_gene		1.0			H
ENSMUSG00000118182.1	Gm50427	IG_V_pseudogene				1.0	Z
ENSMUSG00000105313.1	Gm43583	IG_V_pseudogene	1.0				G
ENSMUSG00000104152.1	Ighv10-4	IG_V_pseudogene	1.0		1.0		GS
ENSMUSG00000104931.1	Igkv1-136	IG_V_pseudogene			1.0		S
ENSMUSG00000102528.1	Ighv1-45	IG_V_pseudogene	1.0				G
ENSMUSG00000106325.1	Ighv8-10	IG_V_pseudogene				1.0	Z
ENSMUSG00000102140.1	Gm38058	TEC				2.0	Z
ENSMUSG00000108693.1	Gm45153	TEC				1.0	Z
ENSMUSG00000108391.1	Gm9768	TEC				4.0	Z
ENSMUSG00000107967.1	Gm44094	TEC		1.0		1.0	HZ
ENSMUSG00000107894.1	Gm10388	TEC		1.0			H
ENSMUSG00000107245.1	Gm42803	TEC		3.0			H
ENSMUSG00000107240.1	Gm43231	TEC				2.0	Z
ENSMUSG00000106947.1	1700025A08Rik	TEC				2.0	Z
ENSMUSG00000106896.1	G630022F23Rik	TEC	1.0	1.0	1.0	4.0	GHSZ
ENSMUSG00000106862.1	Gm42811	TEC	2.0	1.0			GH
ENSMUSG00000106855.1	5330437M03Rik	TEC			1.0		S
ENSMUSG00000102189.1	Gm37194	TEC				1.0	Z
ENSMUSG00000106662.1	Gm43034	TEC				1.0	Z
ENSMUSG00000106628.1	Gm43558	TEC				1.0	Z
ENSMUSG00000108704.1	Gm44636	TEC			1.0		S
ENSMUSG00000106621.1	Gm42752	TEC		1.0			H
ENSMUSG00000106609.1	Gm43181	TEC			1.0		S
ENSMUSG00000106549.1	Gm42653	TEC				1.0	Z
ENSMUSG00000106541.1	Gm43246	TEC			1.0		S
ENSMUSG00000106485.1	3830422I06Rik	TEC		1.0			H
ENSMUSG00000102147.1	Gm38055	TEC		1.0		1.0	HZ
ENSMUSG00000106386.1	Gm42991	TEC	1.0	1.0	1.0		GHS
ENSMUSG00000106224.1	Gm43823	TEC	1.0				G
ENSMUSG00000111865.1	Gm47687	TEC	1.0		1.0		GS
ENSMUSG00000108871.1	Gm45102	TEC				6.0	Z
ENSMUSG00000102244.1	Gm37714	TEC			1.0		S
ENSMUSG00000115599.1	Gm49154	TEC				2.0	Z
ENSMUSG00000114416.1	Gm47907	TEC				4.0	Z
ENSMUSG00000113570.1	Gm5953	TEC	2.0			4.0	GZ
ENSMUSG00000047384.3	A730013G03Rik	TEC	1.0			2.0	GZ
ENSMUSG00000074739.2	Gm10750	TEC			1.0		S
ENSMUSG00000074461.2	Gm10699	TEC				1.0	Z
ENSMUSG00000074355.2	Gm10676	TEC				1.0	Z
ENSMUSG00000091890.2	A830073O21Rik	TEC	1.0			3.0	GZ
ENSMUSG00000112618.1	Gm48835	TEC	1.0				G
ENSMUSG00000112571.1	Gm48207	TEC		2.0			H
ENSMUSG00000112193.1	Gm48206	TEC			1.0		S
ENSMUSG00000108804.1	Gm30437	TEC				1.0	Z
ENSMUSG00000066752.4	Gm10176	TEC				1.0	Z
ENSMUSG00000111000.1	Gm47108	TEC				4.0	Z
ENSMUSG00000110758.1	Gm48092	TEC			1.0		S
ENSMUSG00000049427.2	Gm9837	TEC	1.0				G
ENSMUSG00000097464.1	Gm26736	TEC	1.0		1.0		GS
ENSMUSG00000110160.1	Gm45560	TEC		1.0		1.0	HZ
ENSMUSG00000109942.1	Gm45262	TEC			1.0		S
ENSMUSG00000109735.1	Gm45667	TEC	1.0			2.0	GZ
ENSMUSG00000109594.1	1700047O18Rik	TEC	1.0	1.0		1.0	GHZ
ENSMUSG00000109388.1	Gm44688	TEC				2.0	Z
ENSMUSG00000109249.1	Gm44610	TEC		1.0	1.0		HS
ENSMUSG00000108953.1	Gm45129	TEC	1.0				G
ENSMUSG00000103789.1	Gm10129	TEC	1.0				G
ENSMUSG00000102260.1	D330025C20Rik	TEC	1.0			1.0	GZ
ENSMUSG00000102391.1	Gm37578	TEC	1.0				G
ENSMUSG00000106078.1	Gm43697	TEC	1.0		1.0		GS
ENSMUSG00000102997.1	Gm17244	TEC				2.0	Z
