group	coordinates	miRNA (+ strand)	miRNA (- strand)	miRNA (intersection)	annotation	gene_info	cCRE (+-200bp slop)	LINE/LTR repeats (+-200bp slop)
sidd	chr10:100119606-100119743	miR-539, miR-670	miR-143, miR-186, miR-30		Distal Intergenic	Gm22918 (+)		LTR@RLTR10C (+), LINE@Lx8b (-), LTR@MTB (+)
sidd	chr10:100146768-100146986	miR-155, miR-374	miR-448		Promoter (2-3kb)	Gm25287 (+)		LTR@MTB_Mm (-)
sidd	chr10:100160840-100160994	miR-188, miR-204/211	miR-203a, miR-653		Distal Intergenic	Gm25287 (+)	dELS@EM10E0487086	LINE@L1_Mus3 (-), LINE@L1_Mus3 (-)
sidd	chr10:100192250-100192378	miR-15/16/195/424/497, miR-203a (2)			Distal Intergenic	Gm47627 (-)		LINE@L1_Mus3 (+)
sidd	chr10:100401845-100402004		miR-101, miR-140		Distal Intergenic	Gm4781 (-)		LINE@L1_Mus3 (-)
sidd	chr10:100506520-100506647	miR-670 (2)	miR-150, miR-203a (2)		Promoter (2-3kb)	Cep290 (+)		LINE@L1Md_F2 (-), LINE@L1Md_F2 (-)
sidd	chr10:100657280-100657383		miR-151a, miR-28/708, miR-670		Distal Intergenic	Gm47325 (+)		LINE@L1Md_F3 (+), LTR@RLTR9E (-)
sidd	chr10:100724237-100724429	miR-218	miR-181, miR-203a (2), miR-330, miR-340, miR-374, miR-377		Intron	Gm35722 (-)		LINE@L1_Mus3 (-)
sidd	chr10:100926109-100926311	miR-143	miR-670		Distal Intergenic	Gm35722 (-)		LINE@L1Md_F2 (+)
sidd	chr10:100954614-100954808	miR-122, miR-142, miR-323a, miR-382	miR-483		Distal Intergenic	Gm35722 (-)		LINE@L1_Mus2 (+), LINE@L1_Mus2 (+)
sidd	chr10:10106525-10106644		miR-140 (2)		Intron	Gm48281 (-)	dELS@EM10E0467270	LTR@ORR1A3 (+), LTR@ORR1A3 (+)
sidd	chr10:101110792-101110937	miR-142, miR-151a	miR-136, miR-532		Distal Intergenic	Gm19233 (+)		LINE@Lx3B (+), LINE@Lx7 (-)
sidd	chr10:101118124-101118327	miR-203a (2), miR-383, miR-495	miR-143, miR-486, miR-493		Distal Intergenic	Gm19233 (+)		LINE@L1_Mus1 (+)
sidd	chr10:101175946-101176099	miR-1197, miR-181 (2)	miR-203a (2)		Distal Intergenic	Gm19233 (+)		LINE@L1_Mus2 (-)
sidd	chr10:101461566-101461785	miR-325, miR-493	miR-142, miR-205, miR-448		Distal Intergenic	Gm26278 (+)		LINE@Lx10 (-), LTR@MTA_Mm (-)
sidd	chr10:101526525-101526643		miR-25/32/92/363/367		Distal Intergenic	Gm26278 (+)		LINE@Lx3_Mus (-)
sidd	chr10:101542512-101542668		miR-374, miR-504		Promoter (1-2kb)	Gm26278 (+)		LINE@L1_Mus1 (-)
sidd	chr10:101944834-101944999		miR-103/107		Intron	Mir3059 (+)		LINE@L1Md_F (-)
sidd	chr10:102323414-102323596		miR-218, miR-494, miR-653		Intron	Gm47031 (+)		LINE@L1Md_T (+)
sidd	chr10:10240242-10240388	miR-146, miR-203a (2)	miR-365, miR-670 (2)		Intron	4930598N05Rik (+)		LTR@RLTR51B_Mm (+), LTR@RMER4B (+), LINE@L1_Mus1 (+)
