Type	Shape	Chr	Start	End	color
Repeats w/o cCREs	circle	10	115867603	115867648	6600ff
Repeats w/o cCREs	circle	10	116415591	116415638	6600ff
Repeats w/o cCREs	circle	10	50520818	50520844	6600ff
Repeats w/o cCREs	circle	10	5591325	5591378	6600ff
Repeats w/o cCREs	circle	10	57781699	57781720	6600ff
Repeats w/o cCREs	circle	11	117425103	117425133	6600ff
Repeats w/o cCREs	circle	11	48927571	48927619	6600ff
Repeats w/o cCREs	circle	11	49141026	49141117	6600ff
Repeats w/o cCREs	circle	11	77168459	77168545	6600ff
Repeats w/o cCREs	circle	11	79869857	79869881	6600ff
Repeats w/o cCREs	circle	12	33450276	33450301	6600ff
Repeats w/o cCREs	circle	13	20826676	20826712	6600ff
Repeats w/o cCREs	circle	13	29011790	29011860	6600ff
Repeats w/o cCREs	circle	14	29958722	29958746	6600ff
Repeats w/o cCREs	circle	14	50120694	50120714	6600ff
Repeats w/o cCREs	circle	14	75400891	75400915	6600ff
Repeats w/o cCREs	circle	15	48904149	48904181	6600ff
Repeats w/o cCREs	circle	15	50896524	50896585	6600ff
Repeats w/o cCREs	circle	15	75433868	75433887	6600ff
Repeats w/o cCREs	circle	15	77594629	77594656	6600ff
Repeats w/o cCREs	circle	15	82425897	82425921	6600ff
Repeats w/o cCREs	circle	15	84322539	84322608	6600ff
Repeats w/o cCREs	circle	16	31468573	31468596	6600ff
Repeats w/o cCREs	circle	16	36417499	36417523	6600ff
Repeats w/o cCREs	circle	16	93656364	93656384	6600ff
Repeats w/o cCREs	circle	17	24874903	24874923	6600ff
Repeats w/o cCREs	circle	17	37414347	37414367	6600ff
Repeats w/o cCREs	circle	17	68117153	68117212	6600ff
Repeats w/o cCREs	circle	17	90859988	90860065	6600ff
Repeats w/o cCREs	circle	18	38341399	38341422	6600ff
Repeats w/o cCREs	circle	18	60376833	60376863	6600ff
Repeats w/o cCREs	circle	18	6736278	6736333	6600ff
Repeats w/o cCREs	circle	18	88758527	88758570	6600ff
Repeats w/o cCREs	circle	1	58279855	58279886	6600ff
Repeats w/o cCREs	circle	1	87267005	87267032	6600ff
Repeats w/o cCREs	circle	1	88217966	88218015	6600ff
Repeats w/o cCREs	circle	1	92977223	92977242	6600ff
Repeats w/o cCREs	circle	2	18639914	18639940	6600ff
Repeats w/o cCREs	circle	2	4836606	4836630	6600ff
Repeats w/o cCREs	circle	2	49307432	49307453	6600ff
Repeats w/o cCREs	circle	2	69210503	69210528	6600ff
Repeats w/o cCREs	circle	2	88602643	88602663	6600ff
Repeats w/o cCREs	circle	3	103424592	103424615	6600ff
Repeats w/o cCREs	circle	3	105981424	105981447	6600ff
Repeats w/o cCREs	circle	3	121182428	121182450	6600ff
Repeats w/o cCREs	circle	3	26635959	26635998	6600ff
Repeats w/o cCREs	circle	3	51990696	51990787	6600ff
Repeats w/o cCREs	circle	3	92115986	92116004	6600ff
Repeats w/o cCREs	circle	3	9972181	9972228	6600ff
Repeats w/o cCREs	circle	4	100569797	100569821	6600ff
Repeats w/o cCREs	circle	4	20341013	20341041	6600ff
Repeats w/o cCREs	circle	4	34757155	34757180	6600ff
Repeats w/o cCREs	circle	4	68180516	68180591	6600ff
Repeats w/o cCREs	circle	5	103276550	103276573	6600ff
Repeats w/o cCREs	circle	5	110074399	110074440	6600ff
Repeats w/o cCREs	circle	5	111740065	111740148	6600ff
Repeats w/o cCREs	circle	5	13760747	13760772	6600ff
Repeats w/o cCREs	circle	5	146014926	146014995	6600ff
Repeats w/o cCREs	circle	5	150083500	150083528	6600ff
Repeats w/o cCREs	circle	5	15618426	15618450	6600ff
Repeats w/o cCREs	circle	5	26072252	26072282	6600ff
Repeats w/o cCREs	circle	5	30970536	30970555	6600ff
Repeats w/o cCREs	circle	5	37049075	37049123	6600ff
Repeats w/o cCREs	circle	5	67941466	67941486	6600ff
Repeats w/o cCREs	circle	5	76487207	76487224	6600ff
Repeats w/o cCREs	circle	5	80901799	80901849	6600ff
