"geneId"	"annotation"	"group"	"gene_name"
"ENSMUSG00000000093.6"	"Promoter (<=1kb)"	"z-dna"	"Tbx2"
"ENSMUSG00000000094.12"	"Promoter (<=1kb)"	"z-dna"	"Tbx4"
"ENSMUSG00000000120.6"	"Promoter (<=1kb)"	"z-dna"	"Ngfr"
"ENSMUSG00000000125.5"	"Promoter (<=1kb)"	"z-dna"	"Wnt3"
"ENSMUSG00000000126.11"	"Promoter (<=1kb)"	"z-dna"	"Wnt9a"
"ENSMUSG00000000127.15"	"Promoter (<=1kb)"	"z-dna"	"Fer"
"ENSMUSG00000000142.15"	"Promoter (<=1kb)"	"z-dna"	"Axin2"
"ENSMUSG00000000183.6"	"Promoter (<=1kb)"	"z-dna"	"Fgf6"
"ENSMUSG00000000197.8"	"Promoter (<=1kb)"	"z-dna"	"Nalcn"
"ENSMUSG00000000223.13"	"Promoter (1-2kb)"	"z-dna"	"Drp2"
"ENSMUSG00000000247.11"	"Promoter (<=1kb)"	"z-dna"	"Lhx2"
"ENSMUSG00000000266.11"	"Promoter (<=1kb)"	"z-dna"	"Mid2"
"ENSMUSG00000000296.8"	"Promoter (<=1kb)"	"z-dna"	"Tpd52l1"
"ENSMUSG00000000303.12"	"Promoter (<=1kb)"	"z-dna"	"Cdh1"
"ENSMUSG00000000305.12"	"Promoter (<=1kb)"	"z-dna"	"Cdh4"
"ENSMUSG00000000320.10"	"Promoter (<=1kb)"	"z-dna"	"Alox12"
"ENSMUSG00000000325.16"	"Promoter (<=1kb)"	"z-dna"	"Arvcf"
"ENSMUSG00000000359.3"	"Promoter (1-2kb)"	"z-dna"	"Rem1"
"ENSMUSG00000000385.8"	"Promoter (<=1kb)"	"z-dna"	"Tmprss2"
"ENSMUSG00000000416.16"	"Promoter (1-2kb)"	"z-dna"	"Cttnbp2"
"ENSMUSG00000000435.1"	"Promoter (<=1kb)"	"z-dna"	"Myf5"
"ENSMUSG00000000440.12"	"Promoter (<=1kb)"	"z-dna"	"Pparg"
"ENSMUSG00000000489.7"	"Promoter (<=1kb)"	"z-dna"	"Pdgfb"
"ENSMUSG00000000532.11"	"Promoter (1-2kb)"	"z-dna"	"Acvr1b"
"ENSMUSG00000000560.9"	"Promoter (<=1kb)"	"z-dna"	"Gabra2"
"ENSMUSG00000000567.5"	"Promoter (<=1kb)"	"z-dna"	"Sox9"
"ENSMUSG00000000631.20"	"Promoter (<=1kb)"	"z-dna"	"Myo18a"
"ENSMUSG00000000632.13"	"Promoter (<=1kb)"	"z-dna"	"Sez6"
"ENSMUSG00000000690.5"	"Promoter (<=1kb)"	"z-dna"	"Hoxb6"
"ENSMUSG00000000782.16"	"Promoter (<=1kb)"	"z-dna"	"Tcf7"
"ENSMUSG00000000805.18"	"Promoter (<=1kb)"	"z-dna"	"Car4"
"ENSMUSG00000000916.15"	"Promoter (2-3kb)"	"z-dna"	"Nsun5"
"ENSMUSG00000000934.9"	"Promoter (1-2kb)"	"z-dna"	"Top1mt"
"ENSMUSG00000000938.11"	"Promoter (<=1kb)"	"z-dna"	"Hoxa10"
"ENSMUSG00000000942.10"	"Promoter (<=1kb)"	"z-dna"	"Hoxa4"
"ENSMUSG00000000957.11"	"Promoter (<=1kb)"	"z-dna"	"Mmp14"
"ENSMUSG00000001036.17"	"Promoter (<=1kb)"	"z-dna"	"Epn2"
"ENSMUSG00000001076.7"	"Promoter (<=1kb)"	"z-dna"	"C1ql4"
"ENSMUSG00000001089.14"	"Promoter (<=1kb)"	"z-dna"	"Luzp1"
"ENSMUSG00000001119.7"	"Promoter (2-3kb)"	"z-dna"	"Col6a1"
"ENSMUSG00000001138.13"	"Promoter (<=1kb)"	"z-dna"	"Cnnm3"
"ENSMUSG00000001157.13"	"Promoter (<=1kb)"	"z-dna"	"Gmcl1"
"ENSMUSG00000001227.12"	"Promoter (<=1kb)"	"z-dna"	"Sema6b"
"ENSMUSG00000001240.13"	"Promoter (<=1kb)"	"z-dna"	"Ramp2"
"ENSMUSG00000001247.16"	"Promoter (1-2kb)"	"z-dna"	"Lsr"
"ENSMUSG00000001249.14"	"Promoter (<=1kb)"	"z-dna"	"Hpn"
"ENSMUSG00000001270.9"	"Promoter (<=1kb)"	"z-dna"	"Ckb"
"ENSMUSG00000001288.15"	"Promoter (<=1kb)"	"z-dna"	"Rarg"
"ENSMUSG00000001300.16"	"Promoter (<=1kb)"	"z-dna"	"Efnb2"
"ENSMUSG00000001313.12"	"Promoter (<=1kb)"	"z-dna"	"Rnd2"
"ENSMUSG00000001333.9"	"Promoter (<=1kb)"	"z-dna"	"Sync"
"ENSMUSG00000001334.9"	"Promoter (<=1kb)"	"z-dna"	"Fndc5"
"ENSMUSG00000001435.15"	"Promoter (<=1kb)"	"z-dna"	"Col18a1"
"ENSMUSG00000001444.2"	"Promoter (<=1kb)"	"z-dna"	"Tbx21"
"ENSMUSG00000001482.15"	"Promoter (2-3kb)"	"z-dna"	"Def8"
"ENSMUSG00000001497.18"	"Promoter (<=1kb)"	"z-dna"	"Pax9"
"ENSMUSG00000001504.10"	"Promoter (<=1kb)"	"z-dna"	"Irx2"
"ENSMUSG00000001507.16"	"Promoter (<=1kb)"	"z-dna"	"Itga3"
"ENSMUSG00000001510.8"	"Promoter (<=1kb)"	"z-dna"	"Dlx3"
"ENSMUSG00000001521.12"	"Promoter (2-3kb)"	"z-dna"	"Tulp3"
"ENSMUSG00000001566.9"	"Promoter (<=1kb)"	"z-dna"	"Mnx1"
"ENSMUSG00000001583.13"	"Promoter (<=1kb)"	"z-dna"	"Tnk1"
"ENSMUSG00000001604.14"	"Promoter (<=1kb)"	"z-dna"	"Tcea3"
"ENSMUSG00000001655.6"	"Promoter (<=1kb)"	"z-dna"	"Hoxc13"
"ENSMUSG00000001656.3"	"Promoter (<=1kb)"	"z-dna"	"Hoxc11"
