Flipon	Coordinates	LINE/LTR (+-200bp)
g4	chr1:3014794-3014871	LINE@L1Md_F2(-), LINE@L1VL1(+)
g4	chr1:3099888-3099963	LINE@L1Md_F2(+), LTR@MTC(+)
g4	chr1:3287445-3287468	LINE@L1MD(-)
g4	chr1:3472953-3472969	LINE@L1_Mus1(+)
g4	chr1:3535948-3535996	LINE@L1_Mus2(-), LINE@L1VL1(+)
g4	chr1:3589198-3589237	LINE@Lx6(+), LINE@Lx6(+)
g4	chr1:3654228-3654253	LTR@ERVB4_1C-LTR_Mm(+), LINE@L1MC2(+)
g4	chr1:3791949-3792000	LTR@RLTR28(+), LINE@L1Md_F2(-)
g4	chr1:4296728-4296776	LINE@L1_Mus2(+), LINE@L1M2(+)
g4	chr1:4637449-4637475	LINE@L1_Mus2(+)
g4	chr1:4705857-4705879	LINE@Lx3A(+)
g4	chr1:4788659-4788684	LTR@RLTR13C2(-), LTR@RLTR1B(+)
g4	chr1:5046614-5046637	LTR@RLTR1B-int(-)
g4	chr1:5170920-5170946	LTR@MuRRS4-int(+), LTR@MuRRS4-int(+)
g4	chr1:5369144-5369170	LINE@L1_Rod(-), LINE@L1_Mus3(-)
g4	chr1:5645302-5645319	LINE@Lx(-)
g4	chr1:6301797-6301834	LINE@L1Md_F2(+), LINE@Lx7(+)
g4	chr1:6383106-6383131	LINE@L1MC3(+)
g4	chr1:6383197-6383226	LINE@L1MC3(+)
g4	chr1:6500563-6500611	LTR@RMER4B(+), LINE@L1_Mus1(-)
g4	chr1:6548020-6548050	LINE@Lx(-)
g4	chr1:6886783-6886808	LINE@Lx(+)
g4	chr1:7524224-7524272	LINE@L1Md_F2(+)
g4	chr1:7653981-7654019	LTR@RMER17A2(-)
g4	chr1:7668588-7668616	LTR@RMER17A2(-), LTR@RMER17A2(-)
g4	chr1:7741984-7742014	LTR@RLTR1B-int(-), LTR@RLTR1B-int(-)
g4	chr1:7892492-7892511	LTR@RLTR31D_MM(-), LINE@L1Md_F2(-)
g4	chr1:7967705-7967746	LINE@L1Md_F2(+)
g4	chr1:7979959-7980025	LINE@L1Md_A(+), LTR@MTE-int(-)
g4	chr1:8033908-8033974	LINE@Lx6(-), LINE@L1Md_A(-)
g4	chr1:8155926-8155961	LINE@Lx2(+), LTR@RMER17D2(-)
g4	chr1:8156147-8156172	LTR@RMER17D2(-), LTR@IAPLTR1a_Mm(+)
g4	chr1:8471071-8471104	LTR@RMER17A2(+)
g4	chr1:8515618-8515668	LINE@L1Md_F3(+)
g4	chr1:8794675-8794706	LINE@L1_Mus1(+), LINE@L1_Mur3(-)
g4	chr1:8939157-8939173	LTR@MMERVK9C_I-int(+)
g4	chr1:8969550-8969598	LINE@L1_Mm(-), LINE@L1_Mus1(-)
g4	chr1:8982988-8983034	LTR@MTC(+), LINE@L1Md_F2(-)
g4	chr1:8999527-8999557	LINE@L1VL2(+)
g4	chr1:9200365-9200393	LINE@Lx(-)
g4	chr1:9264336-9264356	LINE@L1_Mur3(-), LINE@L1_Mus2(-)
g4	chr1:9314107-9314132	LTR@RMER17B2(+)
g4	chr1:9414116-9414146	LTR@ORR1A3(+), LINE@Lx3_Mus(-)
g4	chr1:10674699-10674738	LINE@L1_Mus4(+)
g4	chr1:10857882-10857908	LTR@RMER17A2(+)
g4	chr1:11438270-11438295	LINE@L1Md_F2(-)
g4	chr1:11487912-11487942	LINE@L1Md_F2(-)
g4	chr1:11709456-11709496	LTR@RMER17D2(+)
g4	chr1:12189267-12189303	LINE@L1_Mus4(+)
g4	chr1:12303748-12303772	LINE@L1_Mus2(-)
g4	chr1:12344870-12344895	LTR@RLTR1B(-)
g4	chr1:12411048-12411102	LINE@L1Md_F2(+)
g4	chr1:12516021-12516039	LINE@L1Md_F2(+), LINE@L1_Mm(+)
g4	chr1:12610874-12610910	LTR@MMERGLN_LTR(+)
g4	chr1:12774138-12774177	LINE@L1_Mus3(+)
g4	chr1:12842036-12842060	LINE@Lx8(+)
g4	chr1:14216489-14216515	LINE@L1_Mus3(+), LINE@L1M4(+)
g4	chr1:14467971-14467987	LINE@Lx(-)
g4	chr1:14704370-14704396	LINE@L1_Mus2(+)
g4	chr1:14854465-14854486	LINE@L1_Mus1(+), LTR@MLT2D(+)
g4	chr1:15213387-15213420	LINE@L1_Mus2(+)
g4	chr1:15278119-15278149	LINE@L1Md_F2(+)
g4	chr1:15345936-15345981	LINE@L1_Mus2(-)
g4	chr1:15554820-15554845	LINE@L1_Mus3(+), LINE@L1_Mus2(+)
g4	chr1:16277574-16277627	LINE@L1_Mus1(-)
g4	chr1:16291601-16291637	LINE@Lx2(+), LINE@Lx2(+)
g4	chr1:16291655-16291680	LINE@Lx2(+), LINE@Lx2(+)
g4	chr1:16385516-16385547	LINE@L1_Mus2(-)
g4	chr1:16884460-16884485	LINE@Lx(-)
g4	chr1:17634197-17634228	LINE@L1_Mus3(+), LTR@RMER17A(-)
g4	chr1:17966425-17966491	LINE@L1Md_T(+), LTR@RLTR10(+)
g4	chr1:17994662-17994683	LINE@L1Md_F2(-)
g4	chr1:18406724-18406791	LINE@L1_Mus2(+)
g4	chr1:18510818-18510872	LINE@L1_Mus1(-), LINE@L1_Mus1(+)
g4	chr1:18830747-18830794	LINE@L1_Mus2(+)
g4	chr1:18937537-18937587	LINE@L1Md_F2(-)
g4	chr1:19855526-19855547	LINE@L1_Mus3(+)
g4	chr1:20253815-20253849	LINE@Lx(-)
g4	chr1:20538958-20539002	LINE@L1_Mus2(+)
g4	chr1:20552486-20552513	LTR@RLTR10A(+)
g4	chr1:21167583-21167614	LINE@L1_Mus2(-)
g4	chr1:21569430-21569460	LINE@Lx7(+), LINE@Lx3_Mus(+)
g4	chr1:21677700-21677717	LTR@MTC(-), LINE@Lx2(-)
g4	chr1:21762378-21762412	LINE@L1_Mus2(-)
g4	chr1:22020248-22020269	LINE@Lx3_Mus(+), LINE@Lx3_Mus(-)
g4	chr1:22030814-22030836	LINE@Lx2(-)
g4	chr1:22084753-22084826	LINE@L1Md_F2(+)
g4	chr1:22120728-22120768	LTR@RMER17D2(-), LTR@RMER17D2(-)
g4	chr1:22149529-22149567	LINE@L1Md_F(+), LINE@L1_Mus1(-)
g4	chr1:22280910-22280964	LTR@RMER17C(-), LTR@RMER17C(-)
g4	chr1:22280990-22281012	LTR@RMER17C(-), LTR@RMER17C(-)
g4	chr1:22552022-22552066	LINE@L1_Mus1(-)
g4	chr1:22560241-22560307	LINE@L1_Mus1(+), LINE@L1Md_T(+), LINE@L1_Mus1(+)
g4	chr1:22562407-22562455	LINE@L1_Mus1(+)
g4	chr1:22975560-22975584	LINE@Lx2(-)
g4	chr1:23010557-23010582	LTR@RLTR11B(-), LINE@L1_Mus2(-)
g4	chr1:23293698-23293745	LINE@L1_Mus2(+)
g4	chr1:23308138-23308159	LINE@Lx(-)
g4	chr1:23339474-23339498	LINE@L1_Mus2(-), LINE@Lx2(-), LINE@L1_Mus1(+)
g4	chr1:23428813-23428835	LINE@Lx(-)
g4	chr1:24447888-24447909	LINE@L1_Mus3(-), LINE@L1_Mus3(+)
g4	chr1:24631070-24631106	LTR@ORR1C2(-), LTR@ORR1C2(-)
g4	chr1:24631191-24631214	LTR@ORR1C2(-), LTR@ORR1C2(-)
g4	chr1:24829026-24829060	LINE@L1_Mus1(-)
g4	chr1:25461078-25461100	LINE@Lx2(+)
g4	chr1:25564848-25564869	LINE@L1Md_F2(+)
g4	chr1:25725454-25725488	LINE@L1_Mus1(+), LINE@Lx8b(+)
g4	chr1:25769708-25769733	LINE@L1Md_F3(+)
g4	chr1:25903438-25903470	LINE@L1Md_F2(+)
g4	chr1:25937121-25937152	LINE@L1Md_F2(+)
g4	chr1:26178351-26178403	LINE@L1Md_F2(+), LINE@L1Md_F2(-)
g4	chr1:26189276-26189312	LINE@L1_Mus1(+), LINE@L1M2(-)
g4	chr1:26192459-26192478	LINE@Lx3_Mus(+), LINE@Lx3_Mus(+)
g4	chr1:26219612-26219633	LTR@MTB_Mm(+)
g4	chr1:26388980-26389004	LINE@L1_Mus3(-)
g4	chr1:26468252-26468286	LINE@L1Md_F2(+), LINE@Lx8b(+)
g4	chr1:26792895-26792936	LINE@L1_Mus2(-)
g4	chr1:27024201-27024227	LINE@L1_Mus1(+), LINE@Lx8b(-)
g4	chr1:27234566-27234595	LINE@L1_Mus3(-)
g4	chr1:27325492-27325516	LINE@L1_Mus3(-)
g4	chr1:27571513-27571567	LINE@L1_Mus1(-)
g4	chr1:27730930-27730957	LTR@RLTR6-int(+)
g4	chr1:27731001-27731025	LTR@RLTR6-int(+)
g4	chr1:27902987-27903022	LINE@L1_Mur3(-), LINE@L1_Mus4(-)
g4	chr1:28392431-28392485	LINE@L1_Mus1(+), LINE@L1_Rod(-)
g4	chr1:28525391-28525422	LTR@MTEa(-), LINE@L1_Mus2(-)
g4	chr1:28574195-28574217	LINE@Lx3A(+), LINE@L1_Mus3(+)
g4	chr1:28656791-28656823	LINE@L1_Mus2(-)
g4	chr1:29048981-29049030	LINE@L1_Mus2(+), LTR@MTB_Mm(-), LINE@L1_Mus2(-)
g4	chr1:29097255-29097291	LINE@L1Md_T(-)
g4	chr1:29132209-29132232	LINE@L1Md_F3(-), LINE@Lx2(-)
g4	chr1:29431204-29431223	LINE@L1Md_F2(+), LINE@L1_Mus4(+)
g4	chr1:29918145-29918186	LINE@Lx(+), LINE@L1_Mus2(-)
g4	chr1:30090022-30090047	LTR@MURVY-int(-)
g4	chr1:30118413-30118460	LINE@L1_Mus4(-)
g4	chr1:30717694-30717719	LTR@RMER17D2(+)
g4	chr1:31024071-31024091	LTR@ORR1A2-int(-), LTR@RMER2(-)
g4	chr1:31211789-31211844	LINE@L1Md_A(+), LINE@L1_Mm(-)
g4	chr1:31406132-31406151	LINE@L1_Mus2(-)
g4	chr1:31444575-31444618	LINE@L1_Mus1(-)
g4	chr1:31902929-31902949	LINE@L1_Mus4(-)
g4	chr1:32206136-32206168	LINE@L1_Mus2(-), LINE@L1_Mus2(+)
g4	chr1:32342484-32342532	LINE@L1Md_F2(-), LINE@L1Md_F2(-)
g4	chr1:32560127-32560156	LINE@L1_Mus3(-)
g4	chr1:32952256-32952293	LINE@L1_Mus1(+)
g4	chr1:33380257-33380291	LINE@L1_Mur2(-), LINE@L1_Mus3(-)
g4	chr1:33406151-33406196	LINE@L1MEf(-), LINE@L1Md_F2(-)
g4	chr1:33680461-33680480	LTR@LTRIS2(-), LTR@RMER17B(+)
g4	chr1:34104448-34104472	LTR@RMER17C2(-)
g4	chr1:34778066-34778092	LTR@RMER17D2(+)
g4	chr1:34778278-34778315	LTR@RMER17D2(+), LINE@L1MEg(-), LTR@MTE2a(-)
g4	chr1:35706657-35706689	LTR@RMER17B(-)
g4	chr1:36012173-36012203	LTR@RMER17C(-)
g4	chr1:36018871-36018907	LTR@ORR1A4(-)
g4	chr1:37204025-37204049	LINE@Lx3A(+), LTR@RLTR12H(+)
g4	chr1:37240672-37240697	LTR@RMER10B(-), LTR@RMER17A(+)
g4	chr1:37240813-37240857	LTR@RMER10B(-), LTR@RMER17A(+)
g4	chr1:37392184-37392219	LTR@ORR1F(-), LTR@RMER17B2(+), LTR@RMER17B2(+), LTR@ORR1F(-)
g4	chr1:37413176-37413211	LTR@RMER17B(+), LTR@RMER17B(+)
g4	chr1:37606656-37606680	LTR@MLT1F1(-)
g4	chr1:39006859-39006883	LTR@RMER17C(-)
g4	chr1:39460351-39460397	LINE@Lx4A(+), LTR@MER57C2(-)
g4	chr1:40063843-40063873	LTR@RMER17C(+)
g4	chr1:40155347-40155384	LTR@RLTR20B3(+), LINE@L1_Mus1(-)
g4	chr1:40187173-40187196	LINE@L1_Mus2(-)
g4	chr1:40848877-40848904	LTR@ORR1D2(-)
g4	chr1:41020830-41020854	LINE@Lx5c(-), LINE@Lx(-)
g4	chr1:41195678-41195720	LINE@Lx(-)
g4	chr1:41205881-41205901	LINE@L1_Mus4(+)
g4	chr1:41360851-41360874	LINE@L1_Mus4(-), LINE@L1_Mus4(+)
g4	chr1:42048427-42048458	LTR@MTD(-), LINE@L1_Mus4(-), LTR@MTD(-)
g4	chr1:42201021-42201047	LTR@RLTR10C(+)
g4	chr1:42328170-42328195	LINE@L1_Mus2(-)
g4	chr1:42442699-42442740	LINE@L1_Mus3(-)
g4	chr1:42767281-42767325	LINE@L1_Mus3(+)
g4	chr1:43420871-43420904	LINE@L1VL2(+)
g4	chr1:43420913-43420952	LINE@L1VL2(+)
g4	chr1:43420991-43421012	LINE@L1VL2(+)
g4	chr1:43421021-43421108	LINE@L1VL2(+)
g4	chr1:43423936-43423955	LTR@MTD(-), LTR@MTD(-)
g4	chr1:43423984-43424063	LTR@MTD(-), LTR@MTD(-)
g4	chr1:43625866-43625912	LINE@L1_Mus3(+), LINE@L1Md_F2(+)
g4	chr1:44631780-44631818	LINE@L1_Mus2(-)
g4	chr1:44789023-44789060	LINE@L1_Mus3(-)
g4	chr1:45218873-45218905	LINE@Lx3A(-), LINE@L1_Mus1(-), LINE@Lx3_Mus(-)
g4	chr1:45999319-45999340	LINE@L1_Mus4(+), LTR@RLTR33(+)
