Gene ID	Transcript ID	Gene Name	Gene Type	Flipon	Flipons per promoter
ENSMUSG00000105054.1	ENSMUST00000196038.1	Gm43664	processed_pseudogene	z-dna	22
ENSMUSG00000054036.6	ENSMUST00000050451.5	Olfr279	protein_coding	z-dna	12
ENSMUSG00000042388.14	ENSMUST00000046659.13	Dlgap3	protein_coding	g4	7
ENSMUSG00000004371.15	ENSMUST00000094892.11	Il11	protein_coding	g4	7
ENSMUSG00000079259.2	ENSMUST00000111816.2	Trim71	protein_coding	z-dna	7
ENSMUSG00000064225.6	ENSMUST00000079597.6	Paqr9	protein_coding	z-dna	6
ENSMUSG00000087011.1	ENSMUST00000146679.1	Gm12930	antisense	g4	6
ENSMUSG00000054256.11	ENSMUST00000150779.7	Msi1	protein_coding	g4	6
ENSMUSG00000040258.6	ENSMUST00000095266.2	Nxph4	protein_coding	g4	6
ENSMUSG00000002799.6	ENSMUST00000075827.4	Jag2	protein_coding	z-dna	6
ENSMUSG00000025743.14	ENSMUST00000070478.3	Sdc3	protein_coding	z-dna	6
ENSMUSG00000014592.21	ENSMUST00000105670.7	Camta1	protein_coding	z-dna	6
ENSMUSG00000043668.13	ENSMUST00000109621.9	Tox3	protein_coding	g4	6
ENSMUSG00000097386.1	ENSMUST00000180487.1	9130213A22Rik	antisense	g4	6
ENSMUSG00000108871.1	ENSMUST00000207427.1	Gm45102	TEC	z-dna	5
ENSMUSG00000061411.12	ENSMUST00000035346.13	Nol4l	protein_coding	z-dna	5
ENSMUSG00000025216.9	ENSMUST00000099401.5	Lbx1	protein_coding	g4	5
ENSMUSG00000045991.19	ENSMUST00000175965.9	Onecut2	protein_coding	g4	5
ENSMUSG00000029436.9	ENSMUST00000031390.9	Mmp17	protein_coding	z-dna	5
ENSMUSG00000058317.12	ENSMUST00000150727.7	Ube2e2	protein_coding	g4	5
ENSMUSG00000058317.12	ENSMUST00000150727.7	Ube2e2	protein_coding	z-dna	5
ENSMUSG00000055980.2	ENSMUST00000069799.2	Irs1	protein_coding	g4	5
ENSMUSG00000063455.16	ENSMUST00000169256.4	D630045J12Rik	protein_coding	z-dna	5
ENSMUSG00000045763.8	ENSMUST00000058845.8	Basp1	protein_coding	g4	5
ENSMUSG00000039146.5	ENSMUST00000046739.5	Ifi44l	protein_coding	z-dna	5
ENSMUSG00000103324.1	ENSMUST00000194525.1	Gm37402	TEC	z-dna	5
ENSMUSG00000031511.16	ENSMUST00000110909.8	Arhgef7	protein_coding	z-dna	5
ENSMUSG00000034910.5	ENSMUST00000038489.5	Pygo1	protein_coding	g4	5
ENSMUSG00000025789.9	ENSMUST00000026896.9	St8sia2	protein_coding	g4	5
ENSMUSG00000021506.7	ENSMUST00000021968.6	Pitx1	protein_coding	g4	5
ENSMUSG00000038517.15	ENSMUST00000107614.7	Tbkbp1	protein_coding	g4	5
ENSMUSG00000049556.5	ENSMUST00000210032.1	Lingo1	protein_coding	z-dna	5
ENSMUSG00000001819.4	ENSMUST00000001872.4	Hoxd13	protein_coding	g4	5
ENSMUSG00000062296.8	ENSMUST00000078626.7	Trank1	protein_coding	z-dna	5
ENSMUSG00000019467.15	ENSMUST00000218654.1	Arhgef25	protein_coding	g4	5
ENSMUSG00000055125.7	ENSMUST00000186205.1	M5C1000I18Rik	lincRNA	z-dna	5
ENSMUSG00000030600.15	ENSMUST00000189877.6	Lrfn1	protein_coding	g4	5
ENSMUSG00000037664.13	ENSMUST00000037287.7	Cdkn1c	protein_coding	g4	5
ENSMUSG00000024420.9	ENSMUST00000025288.8	Zfp521	protein_coding	z-dna	5
ENSMUSG00000054871.5	ENSMUST00000068140.5	Tmem158	protein_coding	z-dna	5
ENSMUSG00000000142.15	ENSMUST00000052915.13	Axin2	protein_coding	g4	5
ENSMUSG00000079654.3	ENSMUST00000159200.1	Prrt4	protein_coding	z-dna	5
ENSMUSG00000026207.16	ENSMUST00000113590.7	Speg	protein_coding	g4	5
ENSMUSG00000027624.20	ENSMUST00000109577.8	Epb41l1	protein_coding	z-dna	5
ENSMUSG00000045215.17	ENSMUST00000239326.1	Asxl3	protein_coding	z-dna	4
ENSMUSG00000026247.13	ENSMUST00000027463.10	Ecel1	protein_coding	z-dna	4
ENSMUSG00000005045.16	ENSMUST00000005175.4	Chd5	protein_coding	z-dna	4
ENSMUSG00000045180.13	ENSMUST00000062317.4	Shroom2	protein_coding	g4	4
ENSMUSG00000062044.16	ENSMUST00000233503.1	Lmtk3	protein_coding	g4	4
ENSMUSG00000028909.17	ENSMUST00000030741.8	Ptpru	protein_coding	z-dna	4
ENSMUSG00000060371.12	ENSMUST00000111288.3	Caln1	protein_coding	z-dna	4
ENSMUSG00000022941.8	ENSMUST00000023660.8	Ripply3	protein_coding	g4	4
ENSMUSG00000045034.12	ENSMUST00000168871.1	Ankrd34b	protein_coding	z-dna	4
ENSMUSG00000058070.14	ENSMUST00000109860.7	Eml1	protein_coding	g4	4
ENSMUSG00000023017.10	ENSMUST00000023758.8	Asic1	protein_coding	z-dna	4
ENSMUSG00000086441.1	ENSMUST00000130153.1	Gm15046	lincRNA	z-dna	4
ENSMUSG00000036186.5	ENSMUST00000074240.3	Dipk1b	protein_coding	z-dna	4
ENSMUSG00000040502.5	ENSMUST00000040307.5	Marchf9	protein_coding	g4	4
ENSMUSG00000042272.17	ENSMUST00000102659.1	Sestd1	protein_coding	z-dna	4
ENSMUSG00000050222.11	ENSMUST00000089494.5	Il17d	protein_coding	g4	4
ENSMUSG00000034520.14	ENSMUST00000068933.11	Gjc1	protein_coding	g4	4
ENSMUSG00000036062.13	ENSMUST00000107976.8	Phf24	protein_coding	z-dna	4
ENSMUSG00000031137.17	ENSMUST00000033473.11	Fgf13	protein_coding	z-dna	4
ENSMUSG00000041794.13	ENSMUST00000048121.12	Myrip	protein_coding	z-dna	4
ENSMUSG00000036030.9	ENSMUST00000055535.8	Prtg	protein_coding	z-dna	4
ENSMUSG00000038319.14	ENSMUST00000036092.9	Kcnh2	protein_coding	g4	4
ENSMUSG00000030600.15	ENSMUST00000189877.6	Lrfn1	protein_coding	z-dna	4
ENSMUSG00000075592.10	ENSMUST00000168479.2	Nynrin	protein_coding	z-dna	4
ENSMUSG00000030518.17	ENSMUST00000119118.7	Fam189a1	protein_coding	z-dna	4
ENSMUSG00000016239.11	ENSMUST00000016383.9	Lonrf3	protein_coding	z-dna	4
ENSMUSG00000051674.15	ENSMUST00000063882.11	Dcun1d4	protein_coding	g4	4
ENSMUSG00000044216.7	ENSMUST00000057801.7	Kcnj4	protein_coding	g4	4
ENSMUSG00000035283.5	ENSMUST00000038949.5	Adrb1	protein_coding	z-dna	4
ENSMUSG00000075304.2	ENSMUST00000100043.2	Sp5	protein_coding	z-dna	4
ENSMUSG00000040649.15	ENSMUST00000068242.8	Rimklb	protein_coding	z-dna	4
ENSMUSG00000059003.12	ENSMUST00000199708.4	Grin2a	protein_coding	z-dna	4
ENSMUSG00000116360.1	ENSMUST00000230109.1	9430014N10Rik	lincRNA	h-dna	4
ENSMUSG00000014603.3	ENSMUST00000014747.2	Alx3	protein_coding	g4	4
ENSMUSG00000031074.14	ENSMUST00000105898.1	Fgf3	protein_coding	g4	4
ENSMUSG00000059493.13	ENSMUST00000087085.9	Nhs	protein_coding	z-dna	4
ENSMUSG00000038740.9	ENSMUST00000041555.9	Mvb12b	protein_coding	g4	4
ENSMUSG00000037014.4	ENSMUST00000109962.3	Sstr4	protein_coding	z-dna	4
ENSMUSG00000015599.9	ENSMUST00000047034.8	Ttbk1	protein_coding	g4	4
ENSMUSG00000039058.11	ENSMUST00000045262.10	Ak5	protein_coding	z-dna	4
ENSMUSG00000005251.15	ENSMUST00000019386.9	Ripk4	protein_coding	g4	4
ENSMUSG00000021209.12	ENSMUST00000021631.11	Ppp4r4	protein_coding	z-dna	4
ENSMUSG00000025351.14	ENSMUST00000026407.8	Cd63	protein_coding	g4	4
ENSMUSG00000061393.14	ENSMUST00000215746.1	Acvr2b	protein_coding	z-dna	4
ENSMUSG00000033597.9	ENSMUST00000024958.8	Caskin1	protein_coding	g4	4
ENSMUSG00000097575.2	ENSMUST00000181092.2	Gm26796	antisense	z-dna	4
ENSMUSG00000054793.8	ENSMUST00000068023.7	Cadm4	protein_coding	g4	4
ENSMUSG00000087059.7	ENSMUST00000127424.7	Gm12339	processed_transcript	z-dna	4
ENSMUSG00000092656.1	ENSMUST00000174915.1	Gm25239	miRNA	z-dna	4
ENSMUSG00000021047.7	ENSMUST00000021438.7	Nova1	protein_coding	z-dna	4
ENSMUSG00000033227.7	ENSMUST00000006716.7	Wnt6	protein_coding	g4	4
ENSMUSG00000046447.3	ENSMUST00000050918.3	Camk2n1	protein_coding	g4	4
ENSMUSG00000105558.1	ENSMUST00000200240.1	Gm5855	processed_pseudogene	z-dna	4
ENSMUSG00000100420.1	ENSMUST00000187344.1	Gm28616	lincRNA	z-dna	4
ENSMUSG00000051159.16	ENSMUST00000101336.9	Cited1	protein_coding	z-dna	4
ENSMUSG00000036923.12	ENSMUST00000133371.7	Stox1	protein_coding	z-dna	4
ENSMUSG00000022098.10	ENSMUST00000022693.8	Bmp1	protein_coding	g4	4
ENSMUSG00000020315.18	ENSMUST00000006629.13	Sptbn1	protein_coding	z-dna	4
ENSMUSG00000000942.10	ENSMUST00000101395.2	Hoxa4	protein_coding	g4	4
ENSMUSG00000118213.1	ENSMUST00000237542.1	Gm50307	processed_pseudogene	g4	4
ENSMUSG00000031661.12	ENSMUST00000034086.12	Nkd1	protein_coding	z-dna	4
ENSMUSG00000028661.8	ENSMUST00000030420.8	Epha8	protein_coding	z-dna	4
ENSMUSG00000045659.18	ENSMUST00000182487.7	Plekha7	protein_coding	g4	4
ENSMUSG00000034310.8	ENSMUST00000044441.7	Tmem132d	protein_coding	z-dna	4
ENSMUSG00000027931.12	ENSMUST00000029540.12	Npr1	protein_coding	z-dna	4
ENSMUSG00000104657.1	ENSMUST00000197891.1	Gm47297	miRNA	g4	4
ENSMUSG00000114416.1	ENSMUST00000224831.1	Gm47907	TEC	z-dna	4
ENSMUSG00000006576.16	ENSMUST00000124341.7	Slc4a3	protein_coding	g4	4
ENSMUSG00000021217.7	ENSMUST00000021641.7	Tshz3	protein_coding	g4	4
ENSMUSG00000042589.18	ENSMUST00000111752.9	Cux2	protein_coding	z-dna	4
ENSMUSG00000024420.9	ENSMUST00000234410.1	Zfp521	protein_coding	z-dna	4
ENSMUSG00000040209.12	ENSMUST00000041124.12	Zfp704	protein_coding	z-dna	4
ENSMUSG00000081683.5	ENSMUST00000117102.3	Fzd10	protein_coding	z-dna	3
ENSMUSG00000110195.1	ENSMUST00000209537.1	Pde2a	protein_coding	g4	3
ENSMUSG00000058756.13	ENSMUST00000103139.10	Thra	protein_coding	g4	3
ENSMUSG00000037887.11	ENSMUST00000039926.9	Dusp8	protein_coding	z-dna	3
ENSMUSG00000016200.14	ENSMUST00000195354.5	Syt14	protein_coding	g4	3
ENSMUSG00000058325.6	ENSMUST00000211593.1	Dock1	protein_coding	z-dna	3
ENSMUSG00000058420.8	ENSMUST00000203796.3	Syt17	protein_coding	g4	3
