Flipon	Coordinates	Gene Name	Gene Strand	Gene Feature	miRNA (+)	miRNA (-)	miRNA (intersection)	cCRE (+-200bp)	LINE/LTR (+-200bp)	Feature Group
g4	chr1:3014794-3014871	4933401J01Rik	+	Distal Intergenic	miR-328 (1)				LINE@L1Md_F2(-), LINE@L1VL1(+)	LINE/LTR
g4	chr1:3099888-3099963	Gm26206	+	Promoter (2-3kb)		miR-328 (1)			LINE@L1Md_F2(+), LTR@MTC(+)	LINE/LTR
g4	chr1:3535948-3535996	Gm7341	+	Intron	miR-129 (1)				LINE@L1_Mus2(-), LINE@L1VL1(+)	LINE/LTR
g4	chr1:3589198-3589237	Gm38148	-	Intron	miR-185 (3)				LINE@Lx6(+), LINE@Lx6(+)	LINE/LTR
g4	chr1:4296728-4296776	Gm6101	-	Intron		miR-532 (1)			LINE@L1_Mus2(+), LINE@L1M2(+)	LINE/LTR
g4	chr1:4637449-4637475	Gm7369	+	Distal Intergenic		miR-874 (1)			LINE@L1_Mus2(+)	LINE/LTR
g4	chr1:5046614-5046637	Gm17101	+	Intron		miR-296 (1)			LTR@RLTR1B-int(-)	LINE/LTR
g4	chr1:5170920-5170946	Atp6v1h	+	Distal Intergenic	miR-324 (1)				LTR@MuRRS4-int(+), LTR@MuRRS4-int(+)	LINE/LTR
g4	chr1:6301797-6301834	Rb1cc1	+	Distal Intergenic	miR-491 (1)				LINE@L1Md_F2(+), LINE@Lx7(+)	LINE/LTR
g4	chr1:6548020-6548050	St18	+	Intron	miR-665 (1)				LINE@Lx(-)	LINE/LTR
g4	chr1:7653981-7654019	Rps2-ps2	+	Distal Intergenic		miR-204/211 (1), miR-329/362 (1)			LTR@RMER17A2(-)	LINE/LTR
g4	chr1:7892492-7892511	Gm38216	-	Distal Intergenic	miR-532 (1)				LTR@RLTR31D_MM(-), LINE@L1Md_F2(-)	LINE/LTR
g4	chr1:7979959-7980025	Gm38216	-	Distal Intergenic		miR-328 (1)			LINE@L1Md_A(+), LTR@MTE-int(-)	LINE/LTR
g4	chr1:8033908-8033974	Gm38216	-	Distal Intergenic	miR-328 (1)				LINE@Lx6(-), LINE@L1Md_A(-)	LINE/LTR
g4	chr1:8156147-8156172	Gm38024	-	Distal Intergenic	miR-185 (1)				LTR@RMER17D2(-), LTR@IAPLTR1a_Mm(+)	LINE/LTR
g4	chr1:8471071-8471104	Sntg1	-	Promoter (<=1kb)		miR-34/449 (1)			LTR@RMER17A2(+)	LINE/LTR
g4	chr1:8999527-8999557	Gm7493	-	Intron		miR-133 (1)			LINE@L1VL2(+)	LINE/LTR
g4	chr1:9200365-9200393	Gm37629	-	Intron	miR-330 (1)	miR-532 (1)			LINE@Lx(-)	LINE/LTR
g4	chr1:9299267-9299293	Sntg1	-	Promoter (<=1kb)		miR-339 (1)		PLS@EM10E0431574		cCRE
g4	chr1:9314107-9314132	Sntg1	-	Distal Intergenic		miR-185 (1)			LTR@RMER17B2(+)	LINE/LTR
g4	chr1:10674699-10674738	Gm15603	+	Intron		miR-532 (1)			LINE@L1_Mus4(+)	LINE/LTR
g4	chr1:10857882-10857908	Gm28659	+	Distal Intergenic		miR-185 (1)			LTR@RMER17A2(+)	LINE/LTR
g4	chr1:11414405-11414430	A830018L16Rik	+	Promoter (<=1kb)	miR-125 (1)	miR-24 (1)		PLS (CTCF-bound)@EM10E0431901, PLS (CTCF-bound)@EM10E0431902		cCRE & CTCF
g4	chr1:11438270-11438295	Gm38178	+	Intron	miR-532 (1)				LINE@L1Md_F2(-)	LINE/LTR
g4	chr1:11709456-11709496	Gm38069	+	Intron		miR-185 (1), miR-299 (1), miR-491 (1)			LTR@RMER17D2(+)	LINE/LTR
g4	chr1:12189267-12189303	Gm7560	+	Distal Intergenic		miR-1306 (1)			LINE@L1_Mus4(+)	LINE/LTR
g4	chr1:12198676-12198753	Gm7560	+	Distal Intergenic		miR-185 (9)				
g4	chr1:12610874-12610910	Gm6216	+	Distal Intergenic	miR-532 (1)				LTR@MMERGLN_LTR(+)	LINE/LTR
g4	chr1:12774138-12774177	Sulf1	+	Intron		miR-339 (1)			LINE@L1_Mus3(+)	LINE/LTR
g4	chr1:12842036-12842060	Sulf1	+	Promoter (<=1kb)	miR-383 (1)	miR-1306 (1), miR-532 (1)		dELS@EM10E0432007	LINE@Lx8(+)	cCRE & LINE/LTR
g4	chr1:14216489-14216515	Eya1	-	Intron		miR-339 (2)			LINE@L1_Mus3(+), LINE@L1M4(+)	LINE/LTR
