"Flipon"	"Coordinates"	"miRNA (+)"	"miRNA (-)"	"miRNA (intersection)"
"g4"	"chr10:100015775-100015790"	""	""	""
"g4"	"chr10:100016214-100016246"	""	"miR-149 (1)"	""
"g4"	"chr10:10012216-10012266"	""	""	""
"g4"	"chr10:100147225-100147247"	"miR-365 (1)"	""	""
"g4"	"chr10:100401253-100401285"	""	""	""
"g4"	"chr10:100657251-100657301"	""	""	""
"g4"	"chr10:100661264-100661279"	""	""	""
"g4"	"chr10:100661290-100661309"	"miR-185 (1)"	""	""
"g4"	"chr10:100661317-100661348"	"miR-185 (1)"	""	""
"g4"	"chr10:100724440-100724467"	""	""	""
"g4"	"chr10:100926057-100926093"	""	"miR-328 (1)"	""
"g4"	"chr10:101118088-101118133"	""	"miR-486 (1), miR-874 (1)"	""
"g4"	"chr10:101176093-101176120"	"miR-532 (1)"	""	""
"g4"	"chr10:101412548-101412592"	""	""	""
"g4"	"chr10:101829691-101829733"	""	""	""
"g4"	"chr10:102171466-102171514"	""	""	""
"g4"	"chr10:102203187-102203209"	"miR-423 (1)"	""	""
"g4"	"chr10:102307823-102307857"	""	""	""
"g4"	"chr10:102617039-102617074"	""	""	""
"g4"	"chr10:103028655-103028698"	""	""	""
"g4"	"chr10:103028882-103028931"	""	""	""
"g4"	"chr10:103367691-103367719"	""	""	""
"g4"	"chr10:103622422-103622494"	"miR-185 (5)"	""	""
"g4"	"chr10:103622509-103622539"	"miR-185 (1)"	""	""
"g4"	"chr10:103720051-103720077"	""	"miR-133 (2)"	""
"g4"	"chr10:10373293-10373344"	""	""	""
"g4"	"chr10:103796587-103796626"	"miR-138 (1)"	"miR-501/502 (1)"	""
"g4"	"chr10:104239354-104239372"	""	""	""
"g4"	"chr10:104383959-104384013"	""	""	""
"g4"	"chr10:104418775-104418797"	""	""	""
"g4"	"chr10:10450977-10451013"	"miR-329/362 (1)"	""	""
"g4"	"chr10:104735815-104735839"	""	""	""
"g4"	"chr10:104811129-104811171"	""	""	""
"g4"	"chr10:104959080-104959117"	"miR-340 (1)"	"miR-129 (1)"	""
"g4"	"chr10:105038829-105038891"	""	"miR-328 (1)"	""
"g4"	"chr10:105052677-105052708"	""	""	""
"g4"	"chr10:105054120-105054141"	""	"miR-330 (1)"	""
"g4"	"chr10:105925708-105925760"	""	""	""
"g4"	"chr10:105941504-105941570"	""	"miR-328 (1)"	""
"g4"	"chr10:105945231-105945257"	""	"miR-122 (1)"	""
"g4"	"chr10:105977614-105977652"	""	"miR-299 (1)"	""
"g4"	"chr10:10612404-10612448"	""	"miR-744 (1)"	""
"g4"	"chr10:106156177-106156206"	""	""	""
"g4"	"chr10:10633783-10633820"	""	""	""
"g4"	"chr10:106708839-106708865"	"miR-874 (1)"	""	""
"g4"	"chr10:106888804-106888856"	"miR-486 (1)"	""	""
"g4"	"chr10:106964652-106964681"	""	"miR-329/362 (1)"	""
"g4"	"chr10:106964701-106964724"	""	""	""
"g4"	"chr10:107063440-107063468"	""	""	""
"g4"	"chr10:10726214-10726239"	""	"miR-330 (1)"	""
"g4"	"chr10:107271989-107272010"	""	""	""
