Type	Shape	Chr	Start	End	color
Repeats w/o cCREs	circle	10	100147225	100147247	6600ff
Repeats w/o cCREs	circle	10	10612404	10612448	6600ff
Repeats w/o cCREs	circle	10	117240674	117240728	6600ff
Repeats w/o cCREs	circle	10	118803258	118803292	6600ff
Repeats w/o cCREs	circle	10	129140961	129141008	6600ff
Repeats w/o cCREs	circle	10	129495602	129495657	6600ff
Repeats w/o cCREs	circle	10	14589193	14589219	6600ff
Repeats w/o cCREs	circle	10	17032733	17032756	6600ff
Repeats w/o cCREs	circle	10	18149311	18149358	6600ff
Repeats w/o cCREs	circle	10	21374485	21374539	6600ff
Repeats w/o cCREs	circle	10	21426438	21426484	6600ff
Repeats w/o cCREs	circle	10	31452064	31452130	6600ff
Repeats w/o cCREs	circle	10	33810703	33810736	6600ff
Repeats w/o cCREs	circle	10	41365450	41365486	6600ff
Repeats w/o cCREs	circle	10	44694283	44694331	6600ff
Repeats w/o cCREs	circle	10	50757058	50757090	6600ff
Repeats w/o cCREs	circle	10	53516183	53516212	6600ff
Repeats w/o cCREs	circle	10	58719655	58719722	6600ff
Repeats w/o cCREs	circle	10	66919669	66919699	6600ff
Repeats w/o cCREs	circle	10	92589410	92589446	6600ff
Repeats w/o cCREs	circle	10	97422121	97422158	6600ff
Repeats w/o cCREs	circle	11	119112838	119112866	6600ff
Repeats w/o cCREs	circle	11	16440923	16440964	6600ff
Repeats w/o cCREs	circle	11	43310206	43310272	6600ff
Repeats w/o cCREs	circle	11	49141028	49141125	6600ff
Repeats w/o cCREs	circle	11	50843323	50843354	6600ff
Repeats w/o cCREs	circle	11	67781186	67781229	6600ff
Repeats w/o cCREs	circle	11	74183256	74183281	6600ff
Repeats w/o cCREs	circle	11	99305727	99305763	6600ff
Repeats w/o cCREs	circle	11	99909199	99909265	6600ff
Repeats w/o cCREs	circle	12	106838186	106838235	6600ff
Repeats w/o cCREs	circle	12	115241489	115241553	6600ff
Repeats w/o cCREs	circle	12	120002888	120002919	6600ff
Repeats w/o cCREs	circle	12	18282816	18282837	6600ff
Repeats w/o cCREs	circle	12	52078662	52078693	6600ff
Repeats w/o cCREs	circle	12	56629478	56629503	6600ff
Repeats w/o cCREs	circle	12	81493703	81493737	6600ff
Repeats w/o cCREs	circle	12	91852042	91852063	6600ff
Repeats w/o cCREs	circle	12	92007050	92007103	6600ff
Repeats w/o cCREs	circle	12	99450481	99450532	6600ff
Repeats w/o cCREs	circle	13	107416052	107416079	6600ff
Repeats w/o cCREs	circle	13	21359838	21359865	6600ff
Repeats w/o cCREs	circle	13	27197933	27197970	6600ff
Repeats w/o cCREs	circle	13	33845222	33845269	6600ff
Repeats w/o cCREs	circle	13	42868899	42868923	6600ff
Repeats w/o cCREs	circle	13	67658742	67658787	6600ff
Repeats w/o cCREs	circle	13	70843676	70843722	6600ff
Repeats w/o cCREs	circle	13	92515723	92515746	6600ff
Repeats w/o cCREs	circle	13	95736842	95736879	6600ff
Repeats w/o cCREs	circle	13	9634360	9634401	6600ff
Repeats w/o cCREs	circle	14	104590722	104590743	6600ff
Repeats w/o cCREs	circle	14	107878121	107878187	6600ff
Repeats w/o cCREs	circle	14	108008757	108008789	6600ff
Repeats w/o cCREs	circle	14	109948605	109948641	6600ff
Repeats w/o cCREs	circle	14	123930749	123930804	6600ff
Repeats w/o cCREs	circle	14	13867747	13867774	6600ff
Repeats w/o cCREs	circle	14	41180221	41180245	6600ff
Repeats w/o cCREs	circle	14	50638895	50638961	6600ff
Repeats w/o cCREs	circle	14	52582477	52582497	6600ff
Repeats w/o cCREs	circle	14	52656997	52657068	6600ff
Repeats w/o cCREs	circle	14	61456685	61456773	6600ff
Repeats w/o cCREs	circle	14	61560589	61560622	6600ff
Repeats w/o cCREs	circle	14	73490336	73490379	6600ff
Repeats w/o cCREs	circle	14	93981760	93981794	6600ff
Repeats w/o cCREs	circle	14	94736304	94736340	6600ff
Repeats w/o cCREs	circle	15	16726491	16726511	6600ff
Repeats w/o cCREs	circle	15	21114805	21114871	6600ff
Repeats w/o cCREs	circle	15	26674898	26674964	6600ff
Repeats w/o cCREs	circle	15	34291717	34291743	6600ff
Repeats w/o cCREs	circle	15	71797530	71797583	6600ff
Repeats w/o cCREs	circle	15	75313207	75313233	6600ff
Repeats w/o cCREs	circle	15	79627388	79627417	6600ff
Repeats w/o cCREs	circle	15	83107659	83107692	6600ff
Repeats w/o cCREs	circle	15	83916420	83916486	6600ff
Repeats w/o cCREs	circle	15	93233403	93233461	6600ff
Repeats w/o cCREs	circle	15	93736340	93736366	6600ff
Repeats w/o cCREs	circle	16	19167595	19167618	6600ff
Repeats w/o cCREs	circle	16	19421027	19421058	6600ff
Repeats w/o cCREs	circle	16	36977170	36977245	6600ff
Repeats w/o cCREs	circle	16	5145149	5145220	6600ff
Repeats w/o cCREs	circle	16	58656458	58656481	6600ff
Repeats w/o cCREs	circle	16	59054560	59054606	6600ff
Repeats w/o cCREs	circle	16	59165566	59165606	6600ff
Repeats w/o cCREs	circle	16	59221031	59221083	6600ff
Repeats w/o cCREs	circle	16	59408366	59408412	6600ff
Repeats w/o cCREs	circle	16	70286305	70286353	6600ff
Repeats w/o cCREs	circle	16	76147327	76147364	6600ff
Repeats w/o cCREs	circle	16	85079367	85079387	6600ff
Repeats w/o cCREs	circle	16	86148038	86148077	6600ff
Repeats w/o cCREs	circle	16	88673526	88673551	6600ff
Repeats w/o cCREs	circle	16	91370392	91370437	6600ff
Repeats w/o cCREs	circle	16	93656460	93656490	6600ff
Repeats w/o cCREs	circle	17	32839277	32839306	6600ff
Repeats w/o cCREs	circle	17	36598946	36598998	6600ff
Repeats w/o cCREs	circle	17	37391688	37391722	6600ff
Repeats w/o cCREs	circle	17	38309961	38309992	6600ff
Repeats w/o cCREs	circle	17	8387120	8387186	6600ff
Repeats w/o cCREs	circle	18	17017635	17017685	6600ff
Repeats w/o cCREs	circle	18	17675572	17675598	6600ff
Repeats w/o cCREs	circle	18	48660707	48660752	6600ff
Repeats w/o cCREs	circle	18	70783002	70783046	6600ff
Repeats w/o cCREs	circle	18	88937172	88937220	6600ff
Repeats w/o cCREs	circle	19	11873394	11873439	6600ff
Repeats w/o cCREs	circle	19	3317949	3318000	6600ff
Repeats w/o cCREs	circle	19	8540165	8540213	6600ff
Repeats w/o cCREs	circle	1	129859659	129859684	6600ff
Repeats w/o cCREs	circle	1	141255754	141255790	6600ff
Repeats w/o cCREs	circle	1	151104899	151104954	6600ff
Repeats w/o cCREs	circle	1	174118371	174118427	6600ff
Repeats w/o cCREs	circle	1	176791857	176791895	6600ff
Repeats w/o cCREs	circle	1	178143026	178143049	6600ff
Repeats w/o cCREs	circle	1	58650604	58650640	6600ff
Repeats w/o cCREs	circle	1	60350378	60350403	6600ff
Repeats w/o cCREs	circle	1	65470642	65470708	6600ff
Repeats w/o cCREs	circle	1	73396505	73396526	6600ff
Repeats w/o cCREs	circle	1	86635351	86635387	6600ff
Repeats w/o cCREs	circle	1	92977222	92977251	6600ff
Repeats w/o cCREs	circle	2	108571393	108571433	6600ff
Repeats w/o cCREs	circle	2	111812309	111812335	6600ff
Repeats w/o cCREs	circle	2	11248818	11248859	6600ff
Repeats w/o cCREs	circle	2	129947406	129947430	6600ff
Repeats w/o cCREs	circle	2	164668067	164668130	6600ff
Repeats w/o cCREs	circle	2	174487921	174487967	6600ff
Repeats w/o cCREs	circle	2	4836597	4836623	6600ff
Repeats w/o cCREs	circle	2	68661063	68661094	6600ff
Repeats w/o cCREs	circle	2	87837158	87837205	6600ff
Repeats w/o cCREs	circle	3	128539852	128539884	6600ff
Repeats w/o cCREs	circle	3	134162302	134162335	6600ff
Repeats w/o cCREs	circle	3	146652711	146652751	6600ff
Repeats w/o cCREs	circle	3	21752035	21752063	6600ff
Repeats w/o cCREs	circle	3	38224940	38224976	6600ff
Repeats w/o cCREs	circle	3	40706024	40706046	6600ff
Repeats w/o cCREs	circle	3	4764835	4764859	6600ff
Repeats w/o cCREs	circle	3	52796928	52796950	6600ff
Repeats w/o cCREs	circle	3	69959780	69959820	6600ff
Repeats w/o cCREs	circle	3	87359629	87359673	6600ff
Repeats w/o cCREs	circle	3	92458328	92458365	6600ff
Repeats w/o cCREs	circle	3	92846360	92846414	6600ff
Repeats w/o cCREs	circle	3	9969094	9969118	6600ff
Repeats w/o cCREs	circle	4	10843883	10843960	6600ff
Repeats w/o cCREs	circle	4	115408811	115408847	6600ff
Repeats w/o cCREs	circle	4	134509188	134509221	6600ff
Repeats w/o cCREs	circle	4	147250860	147250897	6600ff
Repeats w/o cCREs	circle	4	149141114	149141140	6600ff
Repeats w/o cCREs	circle	4	22115966	22116032	6600ff
Repeats w/o cCREs	circle	4	25537180	25537219	6600ff
Repeats w/o cCREs	circle	4	49395921	49395941	6600ff
Repeats w/o cCREs	circle	4	59092906	59092951	6600ff
Repeats w/o cCREs	circle	4	69927065	69927109	6600ff
Repeats w/o cCREs	circle	4	95041978	95041997	6600ff
Repeats w/o cCREs	circle	5	103276397	103276422	6600ff
Repeats w/o cCREs	circle	5	105021380	105021407	6600ff
Repeats w/o cCREs	circle	5	106906625	106906688	6600ff
Repeats w/o cCREs	circle	5	109758035	109758068	6600ff
Repeats w/o cCREs	circle	5	110120958	110120982	6600ff
Repeats w/o cCREs	circle	5	120481148	120481179	6600ff
Repeats w/o cCREs	circle	5	121868818	121868847	6600ff
Repeats w/o cCREs	circle	5	131975907	131975942	6600ff
Repeats w/o cCREs	circle	5	148780654	148780675	6600ff
Repeats w/o cCREs	circle	5	14979552	14979582	6600ff
Repeats w/o cCREs	circle	5	15618426	15618456	6600ff
Repeats w/o cCREs	circle	5	19202817	19202854	6600ff
Repeats w/o cCREs	circle	5	22645672	22645745	6600ff
Repeats w/o cCREs	circle	5	26092147	26092200	6600ff
Repeats w/o cCREs	circle	5	37049177	37049210	6600ff
Repeats w/o cCREs	circle	5	48180918	48180971	6600ff
Repeats w/o cCREs	circle	5	57790661	57790697	6600ff
Repeats w/o cCREs	circle	5	87382165	87382186	6600ff
Repeats w/o cCREs	circle	5	87537964	87537987	6600ff
