Type	Shape	Chr	Start	End	color
Repeats w/o cCREs	circle	10	129690720	129690789	6600ff
Repeats w/o cCREs	circle	10	30491637	30491686	6600ff
Repeats w/o cCREs	circle	10	51526593	51526606	6600ff
Repeats w/o cCREs	circle	10	77740480	77740493	6600ff
Repeats w/o cCREs	circle	10	86558871	86558905	6600ff
Repeats w/o cCREs	circle	10	87978817	87978831	6600ff
Repeats w/o cCREs	circle	10	88270387	88270406	6600ff
Repeats w/o cCREs	circle	11	119309144	119309160	6600ff
Repeats w/o cCREs	circle	11	3168531	3168573	6600ff
Repeats w/o cCREs	circle	11	58557678	58557691	6600ff
Repeats w/o cCREs	circle	11	68585779	68585794	6600ff
Repeats w/o cCREs	circle	11	73949959	73949974	6600ff
Repeats w/o cCREs	circle	12	105630384	105630398	6600ff
Repeats w/o cCREs	circle	12	115520294	115520309	6600ff
Repeats w/o cCREs	circle	12	26209306	26209329	6600ff
Repeats w/o cCREs	circle	12	72132840	72132900	6600ff
Repeats w/o cCREs	circle	12	87886671	87886688	6600ff
Repeats w/o cCREs	circle	13	12863271	12863285	6600ff
Repeats w/o cCREs	circle	13	22121837	22121851	6600ff
Repeats w/o cCREs	circle	13	38554120	38554188	6600ff
Repeats w/o cCREs	circle	13	39883503	39883518	6600ff
Repeats w/o cCREs	circle	13	4432070	4432122	6600ff
Repeats w/o cCREs	circle	13	62815034	62815048	6600ff
Repeats w/o cCREs	circle	13	65518814	65518828	6600ff
Repeats w/o cCREs	circle	13	70004920	70004987	6600ff
Repeats w/o cCREs	circle	13	7631537	7631552	6600ff
Repeats w/o cCREs	circle	13	88521142	88521157	6600ff
Repeats w/o cCREs	circle	14	120814630	120814700	6600ff
Repeats w/o cCREs	circle	14	15911330	15911344	6600ff
Repeats w/o cCREs	circle	14	25030776	25030846	6600ff
Repeats w/o cCREs	circle	14	32900293	32900322	6600ff
Repeats w/o cCREs	circle	14	37186001	37186069	6600ff
Repeats w/o cCREs	circle	14	44535817	44535837	6600ff
Repeats w/o cCREs	circle	14	82385806	82385842	6600ff
Repeats w/o cCREs	circle	15	102153491	102153558	6600ff
Repeats w/o cCREs	circle	15	3178587	3178636	6600ff
Repeats w/o cCREs	circle	15	52495099	52495116	6600ff
Repeats w/o cCREs	circle	15	79780178	79780200	6600ff
Repeats w/o cCREs	circle	15	9436777	9436832	6600ff
Repeats w/o cCREs	circle	15	96766831	96766848	6600ff
Repeats w/o cCREs	circle	16	17331964	17331984	6600ff
Repeats w/o cCREs	circle	16	76844358	76844399	6600ff
Repeats w/o cCREs	circle	17	27436460	27436484	6600ff
Repeats w/o cCREs	circle	17	29315488	29315551	6600ff
Repeats w/o cCREs	circle	17	32476666	32476679	6600ff
Repeats w/o cCREs	circle	17	36157990	36158003	6600ff
Repeats w/o cCREs	circle	17	39461695	39461710	6600ff
Repeats w/o cCREs	circle	17	63454144	63454220	6600ff
Repeats w/o cCREs	circle	17	65511701	65511718	6600ff
Repeats w/o cCREs	circle	17	71294271	71294312	6600ff
Repeats w/o cCREs	circle	17	71675184	71675200	6600ff
Repeats w/o cCREs	circle	17	75860136	75860168	6600ff
Repeats w/o cCREs	circle	17	78896673	78896691	6600ff
Repeats w/o cCREs	circle	17	87056677	87056722	6600ff
Repeats w/o cCREs	circle	17	88600152	88600184	6600ff
Repeats w/o cCREs	circle	17	9928851	9928913	6600ff
Repeats w/o cCREs	circle	18	33007755	33007788	6600ff
Repeats w/o cCREs	circle	18	38919631	38919703	6600ff
Repeats w/o cCREs	circle	18	42186143	42186161	6600ff
Repeats w/o cCREs	circle	18	65971319	65971333	6600ff
Repeats w/o cCREs	circle	18	66762121	66762180	6600ff
Repeats w/o cCREs	circle	18	80204295	80204376	6600ff
Repeats w/o cCREs	circle	18	82259915	82259945	6600ff
Repeats w/o cCREs	circle	19	24287156	24287170	6600ff
Repeats w/o cCREs	circle	19	28143354	28143386	6600ff
Repeats w/o cCREs	circle	19	28931789	28931816	6600ff
Repeats w/o cCREs	circle	19	39271059	39271124	6600ff
Repeats w/o cCREs	circle	1	11367756	11367771	6600ff
Repeats w/o cCREs	circle	1	136105328	136105376	6600ff
Repeats w/o cCREs	circle	1	141300524	141300538	6600ff
Repeats w/o cCREs	circle	1	162310793	162310820	6600ff
Repeats w/o cCREs	circle	1	175627299	175627347	6600ff
Repeats w/o cCREs	circle	1	178143270	178143283	6600ff
Repeats w/o cCREs	circle	1	191165475	191165539	6600ff
Repeats w/o cCREs	circle	1	34562631	34562694	6600ff
Repeats w/o cCREs	circle	1	75374179	75374273	6600ff
Repeats w/o cCREs	circle	1	82103797	82103811	6600ff
Repeats w/o cCREs	circle	2	14809785	14809862	6600ff
Repeats w/o cCREs	circle	2	14945747	14945811	6600ff
Repeats w/o cCREs	circle	2	150215896	150215953	6600ff
Repeats w/o cCREs	circle	2	152516573	152516612	6600ff
Repeats w/o cCREs	circle	2	153826194	153826212	6600ff
Repeats w/o cCREs	circle	2	158092252	158092299	6600ff
Repeats w/o cCREs	circle	2	162899513	162899542	6600ff
Repeats w/o cCREs	circle	2	162910672	162910703	6600ff
Repeats w/o cCREs	circle	2	171251595	171251644	6600ff
Repeats w/o cCREs	circle	2	31550872	31550916	6600ff
Repeats w/o cCREs	circle	2	36387010	36387027	6600ff
Repeats w/o cCREs	circle	2	45733566	45733583	6600ff
Repeats w/o cCREs	circle	2	66786044	66786140	6600ff
Repeats w/o cCREs	circle	2	74629106	74629159	6600ff
Repeats w/o cCREs	circle	3	15335082	15335096	6600ff
Repeats w/o cCREs	circle	3	33618866	33618911	6600ff
Repeats w/o cCREs	circle	3	44659191	44659207	6600ff
Repeats w/o cCREs	circle	3	52517800	52517817	6600ff
Repeats w/o cCREs	circle	3	58666606	58666621	6600ff
Repeats w/o cCREs	circle	3	75715279	75715296	6600ff
Repeats w/o cCREs	circle	4	103012298	103012375	6600ff
Repeats w/o cCREs	circle	4	118497601	118497614	6600ff
Repeats w/o cCREs	circle	4	119258171	119258264	6600ff
Repeats w/o cCREs	circle	4	12232609	12232624	6600ff
Repeats w/o cCREs	circle	4	140393886	140393925	6600ff
Repeats w/o cCREs	circle	4	145633873	145633892	6600ff
Repeats w/o cCREs	circle	4	20341042	20341129	6600ff
Repeats w/o cCREs	circle	4	3456377	3456391	6600ff
Repeats w/o cCREs	circle	4	96506439	96506497	6600ff
Repeats w/o cCREs	circle	5	107595124	107595139	6600ff
Repeats w/o cCREs	circle	5	139966041	139966084	6600ff
Repeats w/o cCREs	circle	5	20113311	20113390	6600ff
Repeats w/o cCREs	circle	5	52918253	52918276	6600ff
Repeats w/o cCREs	circle	5	60716730	60716748	6600ff
Repeats w/o cCREs	circle	5	64649110	64649192	6600ff
Repeats w/o cCREs	circle	5	70561741	70561758	6600ff
Repeats w/o cCREs	circle	5	86862174	86862188	6600ff
Repeats w/o cCREs	circle	6	133762435	133762449	6600ff
Repeats w/o cCREs	circle	6	42218094	42218110	6600ff
Repeats w/o cCREs	circle	6	70008831	70008846	6600ff
Repeats w/o cCREs	circle	6	86282163	86282189	6600ff
Repeats w/o cCREs	circle	7	105598650	105598695	6600ff
Repeats w/o cCREs	circle	7	108306351	108306377	6600ff
Repeats w/o cCREs	circle	7	127080573	127080616	6600ff
Repeats w/o cCREs	circle	7	131826687	131826724	6600ff
Repeats w/o cCREs	circle	7	135907906	135907976	6600ff
Repeats w/o cCREs	circle	7	142560936	142560974	6600ff
Repeats w/o cCREs	circle	7	14370321	14370337	6600ff
Repeats w/o cCREs	circle	7	29929504	29929523	6600ff
Repeats w/o cCREs	circle	7	33996136	33996189	6600ff
Repeats w/o cCREs	circle	7	45909432	45909453	6600ff
Repeats w/o cCREs	circle	7	52077678	52077693	6600ff
Repeats w/o cCREs	circle	7	58953822	58953909	6600ff
Repeats w/o cCREs	circle	7	59498934	59498948	6600ff
Repeats w/o cCREs	circle	7	59505806	59505820	6600ff
Repeats w/o cCREs	circle	8	124161312	124161364	6600ff
Repeats w/o cCREs	circle	8	15008669	15008744	6600ff
Repeats w/o cCREs	circle	8	23187944	23187990	6600ff
Repeats w/o cCREs	circle	8	4680883	4680921	6600ff
Repeats w/o cCREs	circle	8	7519839	7519862	6600ff
