Flipon	miR	Gene Feature	Feature group	# of Genes	Gene List
z-dna	miR-147	Promoter (<=1kb)	any	128	1200007C13Rik,5330417C22Rik,6430548M08Rik,A530088E08Rik,Acvr2b,Adamts19,Adamts3,Adra2a,Aif1l,Akain1,Arhgap42,Arhgap44,Ascl1,Astn2,Barx2,Bend7,Bhlhe22,C2cd4a,Cacnb4,Camk2b,Cdh2,Cdh22,Cds1,Cebpa,Celf6,Cers6,Cfd,Cited4,Ciz1,Clmp,Cmtm5,Cnksr2,Col27a1,Csgalnact1,Cspg5,Cxxc4,D630045J12Rik,Dapk1,Doc2b,Dpep3,Dpf1,Dscam,Efna5,Egr4,Ephx4,Esrrb,Fam189a1,Farp1,Fer,Frat2,Galnt18,Gdf10,Gli3,Glis3,Gm11993,Gm12101,Gm12859,Gm13244,Gm14494,Gm25239,Gm3815,Gm41804,Gm44732,Gm5602,Gm7084,Gpr156,H60b,Igf2bp2,Igsf21,Il17d,Irs1,Kcnc1,Kcnc2,Kcnc3,Kcnd3os,Kcnv1,Lrfn1,Lrrc26,M5C1000I18Rik,Mamld1,Mctp1,Mgat3,Mir343,Mir6991,Mycl,Myo1b,Nfia,Nfib,Nkx1-1,Npnt,Nr2f1,Nr2f2,Ntrk2,Ociad2,Onecut2,P2rx2,Plppr1,Prkar1b,Prkd1,Ptpn5,Ptpre,Pygo1,Reps2,Rgmb,Rora,Samd4,Schip1,Scube2,Sez6,Shisa6,Slc27a2,Slc35f1,Smad6,Sorcs1,Sorcs3,Spats2,Speg,Sptb,Tal1,Tbc1d16,Tenm2,Tlcd4,Trmt9b,Ttyh1,Upp1,Wnt2,Zbtb39,Zfyve28
z-dna	miR-210	Promoter (<=1kb)	any	282	1700016J18Rik,1700025G04Rik,1700041B01Rik,1700113H08Rik,2610316D01Rik,4833418N17Rik,4930478K11Rik,4930555G21Rik,4933428G20Rik,9330158H04Rik,9430021M05Rik,9530036O11Rik,A730013G03Rik,A730035I17Rik,Acaca,Acvr2b,Adam12,Adamts20,Adcyap1r1,Angpt4,Arhgap39,Arhgef15,Arhgef7,Asic1,Asxl3,Auts2,BB031773,Bahcc1,Bean1,Boc,C130073E24Rik,C2cd4a,C4b,Cacnb1,Cacng3,Cadm4,Caly,Camkk1,Capsl,Cdh1,Cdh2,Cdh6,Celf4,Cers6,Chst8,Cited1,Ciz1,Clmn,Col4a1,Coro6,Creb5,Crmp1,Csmd1,Ctbp2,Cxcl14,Cxxc4,Cyp1a1,Cyp2j8,Daam2,Dbn1,Dbndd2,Dchs1,Ddn,Dlx5,Dmtn,Dpys,Drd4,Efna3,Efr3b,Epb41l1,Epha8,Ephb1,Epo,Erbb4,Etl4,Fam83c,Fbll1,Fgf1,Fgf18,Fnbp1l,Foxn4,Foxs1,Frmd4b,Fst,Gabbr2,Gdf10,Gjb2,Glis1,Gm10087,Gm10549,Gm11650,Gm12723,Gm12773,Gm12827,Gm13330,Gm13611,Gm13647,Gm13658,Gm14067,Gm14205,Gm15046,Gm15155,Gm15179,Gm17184,Gm18076,Gm19426,Gm2102,Gm24420,Gm24513,Gm24597,Gm25239,Gm26562,Gm26653,Gm27627,Gm29491,Gm34799,Gm37402,Gm37437,Gm37549,Gm37609,Gm37644,Gm38128,Gm4042,Gm40922,Gm41361,Gm43112,Gm43664,Gm45169,Gm45439,Gm46224,Gm48471,Gm49154,Gm49422,Gm50162,Gm5878,Gm6420,Gm7107,Gm7276,Gm8010,Gm8888,Gm9364,Gm9416,Gm9768,Gpc6,Gpr153,Gria2,Grin2a,Gsx1,Hmga2,Hoxa2,Hsd11b1,Htra1,Igfbp7,Il17d,Ildr2,Isl2,Ism2,Jag2,Kbtbd13,Kcng2,Kcnn2,Kcnq2,Kctd15,Krt17,Lat,Lemd1,Lhfpl2,Lingo2,Lonrf2,Lrfn1,Lrrc3b,Mamld1,Marveld1,Mdfi,Mecom,Megf10,Mgll,Minar1,Mir3083,Mir5131,Mt3,Muc2,Mxi1,Mylk2,Myod1,Nav2,Neurl1a,Nfix,Nlgn1,Nlgn2,Nol4,Nol4l,Nos1,Npas3,Npffr1,Nrn1,Nrxn3,Ntm,Ntrk2,Nynrin,Obscn,Pantr1,Pclo,Pde10a,Pde4a,Peg3,Pitx1,Pitx2,Pkp4,Plcb1,Plk5,Plxna4,Podxl2,Prdm6,Prex2,Prrt4,Prrxl1,Prss56,Ptpn5,Ptpru,Rab3a,Rai2,Ralyl,Rapgef2,Rassf1,Rbfox2,Rnf217,Rnf220,Rpl36-ps8,Rpl36-ps9,Samd14,Sardhos,Sdc3,Septin3,Serp2,Serpinb8,Serpind1,Shroom3,Slc1a2,Slc2a12,Slc6a15,Smarcd3,Sox1ot,Sp8,Spint1,Spr-ps1,Srrm4,Susd4,Syt13,Syt7,Tacc2,Tcf24,Tcf7l1,Tenm3,Tenm4,Tent4a,Tmeff1,Tmem119,Tmem158,Tmem196,Tnfaip2,Tns3,Tnxb,Tox2,Trank1,Trim71,Trio,Trpc3,Trps1,Tsku,Ttc6,Ube2e2,Upp1,Wfdc13,Wfdc2,Wnt5a,Zbtb16,Zcchc14,Zfp516,Zfp536,Zfp804b,n-R5s176
z-dna	miR-329/362	Promoter (<=1kb)	any	201	1700025G04Rik,1700025L06Rik,1700067K01Rik,2010009K17Rik,2010320O07Rik,2700033N17Rik,2700069I18Rik,5033426O07Rik,6030445D17Rik,9430021M05Rik,9530036O11Rik,A830082K12Rik,Acvr2b,Adamts12,Adamts20,Adcyap1r1,Agap1,Ak5,Amer2,Ankef1,Ankrd34b,Arc,Asic1,Atp2b3,Auts2,B3gat1,Barx2,Bmp3,Bmper,C330019F10Rik,C4b,Cacnb3,Camsap3,Ccdc68,Cdkn1c,Cemip2,Chdh,Chst8,Ciz1,Cygb,Cyp2j8,D630003M21Rik,D630045J12Rik,Dapk1,Dgkg,Elfn2,Epb41l1,Ephb1,Erich3,Esrrg,Etl4,Fam241a,Fbxl16,Fez1,Fgfr1,Fnbp1l,Foxo6,Gabrb1,Gata2,Gfra2,Gm11847,Gm13501,Gm13647,Gm13658,Gm15202,Gm15458,Gm16076,Gm17180,Gm17590,Gm18076,Gm23700,Gm24368,Gm24597,Gm25090,Gm25239,Gm25665,Gm25715,Gm27627,Gm29508,Gm29683,Gm30731,Gm33489,Gm38117,Gm4042,Gm41361,Gm43566,Gm43664,Gm44028,Gm4710,Gm48818,Gm49601,Gm5231,Gm5250,Gpc6,Gpr139,Grem2,Grid1,Grin2a,Gtf2ird1,Hoxa4,Hpcal1,Ifi44l,Igf2bp2,Igsf21,Ikzf4,Ildr2,Inafm2,Kbtbd11,Kcnc1,Kcnd3,Kcnd3os,Kcne2,Kcnh1,Klc3,Lin28a,Lingo1,Lrfn1,Lsamp,Lzts2,Maf,Marchf9,Mark1,Marveld1,Meis2,Mgat3,Mir5099,Nebl,Neurog3,Ngb,Nkain2,Nkx1-2,Nlrp5-ps,Nol4l,Npas3,Nrn1,Nrsn1,Ntm,Ntrk2,Nynrin,Olfr279,Onecut2,Pax1,Pde10a,Peg3,Perp,Phactr2,Pkp4,Plekha7,Plk5,Plppr1,Pou4f3,Prkg2,Prok2,Prrt4,Prss56,Pth1r,Ptpru,Rab3a,Rap1gap,Rasgef1a,Rimbp2,Sardhos,Sec1,Sema6a,Shroom3,Six3,Slc1a2,Slc2a10,Slc4a2,Slc6a5,Slit1,Smarca1,Sp5,Speg,Srcin1,Susd4,Syne1,Synj2,Tacc2,Tal1,Tas2r138,Tbkbp1,Tcte2,Tenm4,Tgfbr3,Tiam1,Tmem132d,Tmem151a,Tmie,Tpm1,Tspan4,Ttc6,Tubb3,Ube2e2,Vmn1r-ps106,Vwa5b2,Wnk2,Wnt11,Wnt7b,Zfp521,Zfp804b
z-dna	miR-744	Promoter (<=1kb)	any	593	1500009L16Rik,2310014F06Rik,2610316D01Rik,4930412L05Rik,4930442P19Rik,5330438I03Rik,9130213A22Rik,A330040F15Rik,A330074K22Rik,A530088E08Rik,A730035I17Rik,A730056A06Rik,A930017K11Rik,Abi2,Abr,Acvr2b,Adam11,Adam22,Adamts1,Adamts14,Adamts20,Adamtsl5,Adcy7,Adra1d,Adrb1,Ago4,Ajap1,Ak5,Aldh1a2,Amigo1,Amotl1,Amotl2,Ank1,Ank2,Ankrd13b,Ankrd34b,Antxr1,Apbb2,Apcdd1,Aqp5,Arhgap28,Arhgap42,Arhgap44,Arhgef10,Arhgef7,Arnt2,Arvcf,Asap1,Asph,Asxl3,Atoh7,Atp2b2,Atp6v1c2,Atp8b1,Auts2,B230208B08Rik,B230312C02Rik,BC067074,Barx1,Bcr,Bdnf,Bend7,Bmp2,Bmpr1a,C130074G19Rik,C530008M17Rik,Cacna1c,Cacna1h,Cacna2d1,Cacnb3,Cadps2,Caln1,Camk2b,Camkk1,Camkv,Caskin1,Cblc,Ccdc105,Ccdc68,Ccna1,Ccser1,Cd34,Cdh4,Cep170b,Cfap100,Cftr,Chd5,Chdh,Chn1,Chrna5,Chsy3,Clec2l,Cnih3,Cnksr2,Cnr1,Cntn1,Cntn5,Cobl,Col4a2,Col8a2,Col9a2,Coro2b,Cracr2b,Creb5,Crhr1,Crhr2,Crim1,Crip2,Crlf1,Csmd1,Ctsf,Cuedc1,Cux1,D430041D05Rik,D630045J12Rik,D930007P13Rik,Dagla,Dapk1,Dbndd2,Ddx25,Degs2,Deptor,Des,Dio3os,Dipk2a,Dlgap2,Dlgap4,Dlx4,Dmxl2,Dnmbp,Doc2b,Dock1,Dock5,Dok7,Dst,Dusp8,Dusp9,Ebf3,Ebf4,Ecel1,Efna5,Efnb2,Elf2,Elovl4,Entpd3,Epb41l1,Epb41l4b,Epha8,Ephb2,Ephx4,Epn2,Erbb2,Esrrb,Etl4,Evl,Fam13c,Fam163b,Fam171a1,Fam174b,Fam184a,Fam189a1,Fam189a2,Fam78a,Fam81a,Fam83h,Fblim1,Fbln5,Fbxl21,Fer,Fev,Fgd4,Fgf18,Fgf2,Fhad1,Fibcd1,Fignl2,Foxa1,Foxi3,Foxn4,Foxo3,Foxo6,Frat2,Fsd1l,Fstl4,Fut9,Gabrg3,Gabrq,Gad1os,Galnt2,Gamt,Gbx1,Gfod1,Gfra1,Gjc1,Gjd3,Gli2,Gm11837,Gm12339,Gm12781,Gm13889,Gm15105,Gm15583,Gm16764,Gm17182,Gm20553,Gm20646,Gm22238,Gm2415,Gm24804,Gm266,Gm26676,Gm26756,Gm26783,Gm26833,Gm2694,Gm28050,Gm29340,Gm29629,Gm38708,Gm40493,Gm41231,Gm41804,Gm42517,Gm42778,Gm42922,Gm43517,Gm45091,Gm47071,Gm47163,Gm47385,Gm48530,Gm4895,Gm50063,Gm5089,Gm53,Gm6277,Gm6623,Gm6659,Gm7107,Gm8983,Gm9001,Gm960,Gm9924,Gnai1,Gnao1,Gpm6b,Grin1os,Grip1,Gse1,H2-Q1,H2-Q3,Hacd1,Hand2os1,Hcn1,Hcn2,Hdac9,Hdgfl3,Hectd2,Hecw2,Hes3,Homer3,Hoxa13,Hoxa4,Hoxc11,Hoxc9,Hoxd1,Hoxd3os1,Hpcal4,Hpn,Hrh3,Hrk,Igdcc4,Igf2bp2,Igfbp3,Igfbpl1,Ikzf2,Il17d,Ildr2,Insyn1,Irs1,Isl1,Ism2,Itga3,Jag2,Jazf1,Jmy,Jph3,Kank4,Kazn,Kcnd3,Kcnd3os,Kcnf1,Kcng1,Kcng3,Kcnj4,Kcnma1,Kcnmb4,Kcnq4,Kdelr3,Kdf1,Khdrbs2,Khdrbs3,Kif17,Kif27,Kif3a,Klf15,Klf5,Klhl32,L1cam,Lca5l,Lef1,Lgi2,Lingo1,Lmo1,Lmx1a,Lmx1b,Lonrf2,Lonrf3,Loxl1,Loxl4,Lrfn1,Lrfn3,Lrig1,Lrig3,Lrp3,Lrrc38,Lrrc75a,Lrrc75b,Ltbp4,Luzp1,M5C1000I18Rik,Maf,Maneal,Map7d2,Mast4,Mblac2,Mboat2,Mcam,Medag,Megf11,Meioc,Met,Mfsd4a,Mfsd6l,Mgat3,Mgat5b,Mir203,Mir219a-2,Mir343,Mir34b,Mir6392,Mir6973b,Mmp15,Mmp17,Mmp24,Mn1,Mpped1,Msantd3,Mtcl1,Mxd4,Mycl,Myrip,Nags,Nalcn,Nckap1,Ncs1,Nedd4l,Nefh,Nefm,Nell2,Neo1,Nes,Neurl1b,Neurod1,Nexmif,Nfatc4,Nfia,Nfib,Nfix,Ngef,Nkain1,Nkain2,Nkx2-4,Nol4,Nol4l,Nos1ap,Nova1,Nox4,Npr1,Nptx2,Nptxr,Nr2f1,Nr2f2,Nr5a1,Nrg1,Nrxn2,Nsd1,Ntm,Ntrk1,Nxph4,Oaf,Osbpl6,Otx1,Panx2,Paqr9,Pard3b,Pawr,Pax9,Pcsk6,Pde3b,Pde8b,Pdgfc,Pdlim4,Pdzrn3,Peg12,Pex5l,Pgbd5,Phf10,Phyhipl,Pik3cb,Pld1,Plekha7,Plekhh2,Plxdc1,Plxna1,Plxna2,Pm20d2,Pmp22,Pnck,Podn,Podxl,Pou3f2,Ppp1r9a,Ppp4r4,Prdm16os,Prex2,Prickle1,Prickle2,Prkar1b,Prmt8,Prok2,Prrt4,Prrxl1,Prss21,Prtg,Psd,Ptf1a,Pth1r,Ptov1,Ptpn12,Ptpn14,Ptprk,Ptprm,Ptprt,Ptprz1,Pygo1,Rab11fip4,Rac3,Rad51ap2,Radil,Rasgef1a,Rasgef1c,Rasgrf1,Rbfox2,Rbms1,Rbmxl2,Rbp4,Rbpms,Rbpms2,Reep1,Reln,Rgma,Rgmb,Rhou,Rimklb,Rims2,Rims4,Rnf165,Ror1,Rras2,Rtn4r,Rxra,Ryr3,Sall3,Samd5,Scarf2,Schip1,Scn3b,Scn5a,Scn8a,Scube2,Scube3,Sdc3,Sel1l3,Sema3f,Septin5,Septin8,Sertad4,Sestd1,Sh2d4a,Sh3bp4,Shisa7,Shisal1,Sirpa,Slc24a4,Slc35d3,Slc41a2,Slc47a2,Slc4a11,Slc4a4,Slit1,Smad9,Smarcd3,Smpd3,Snx24,Sorcs1,Sox1,Spire1,Spred1,Sptbn1,Sptbn2,Src,Srcin1,Srsf12,Stk32c,Stxbp5l,Sybu,Syde2,Syndig1l,Syne2,Syngr3,Syt15,Syt16,Tafa5,Tanc2,Tbx15,Tbx21,Tbx4,Tcea3,Tcfl5,Tead4,Tle1,Tlx3,Tmem158,Tmem178,Tmem200b,Tmem30b,Tmod2,Tnfaip8l3,Tnfrsf11a,Tox,Tpbgl,Trank1,Trim71,Trio,Trp73,Tspan15,Tspan4,Ttyh1,Tunar,Ube2e2,Ugt8a,Unc5a,Unc5d,Unc80,Uncx,Usp13,Usp35,Vash1,Vash2,Vat1l,Vegfc,Vsig10,Whrn,Wipf1,Wnk2,Wnt4,Wnt5b,Wnt6,Wnt9b,Wwc1,Wwc2,Zbtb7c,Zbtb8a,Zfhx3,Zfp385b,Zfp516,Zfp521,Zfp618,Zfp704,Zfp711,Zfyve28,Zswim5
z-dna	miR-744	Promoter (<=1kb)	CTCF	0	
z-dna	miR-744	Promoter (<=1kb)	cCRE	278	1500009L16Rik,4930412L05Rik,4930442P19Rik,5330438I03Rik,A330074K22Rik,A730056A06Rik,A930017K11Rik,Adamts20,Adra1d,Ago4,Ajap1,Ak5,Amigo1,Amotl2,Ank2,Ankrd13b,Ankrd34b,Apbb2,Aqp5,Arhgap28,Arhgap44,Arhgef10,Arhgef7,Arnt2,Atp2b2,Atp6v1c2,Barx1,Bcr,Bdnf,Bmpr1a,Cacnb3,Cadps2,Camk2b,Camkk1,Caskin1,Ccdc105,Ccdc68,Ccna1,Cd34,Cep170b,Cfap100,Cftr,Chd5,Chdh,Chn1,Chrna5,Cnksr2,Cntn5,Cobl,Col4a2,Col8a2,Col9a2,Creb5,Crhr1,Crhr2,Crlf1,D430041D05Rik,D930007P13Rik,Dbndd2,Ddx25,Des,Dnmbp,Doc2b,Dst,Dusp9,Ebf3,Efnb2,Entpd3,Epha8,Ephb2,Esrrb,Evl,Fam163b,Fam174b,Fam184a,Fam81a,Fam83h,Fblim1,Fbln5,Fbxl21,Fer,Fev,Fgf2,Fhad1,Fignl2,Foxa1,Foxn4,Fstl4,Gfod1,Gjc1,Gjd3,Gm12339,Gm12781,Gm16764,Gm2415,Gm24804,Gm26756,Gm26783,Gm29629,Gm41231,Gm41804,Gm42517,Gm47071,Gm47385,Gm48530,Gm5089,Gm53,Gm6277,Gm7107,Gnao1,Gpm6b,Grin1os,Gse1,H2-Q3,Hacd1,Hand2os1,Hdac9,Hdgfl3,Hes3,Hoxa13,Hoxa4,Hoxc11,Hoxc9,Hoxd1,Hpcal4,Hpn,Hrh3,Igfbp3,Ikzf2,Jag2,Jazf1,Jph3,Kank4,Kcnd3,Kcnd3os,Kcng3,Kcnj4,Kcnq4,Kdf1,Klf15,Klf5,L1cam,Lgi2,Lingo1,Lmx1a,Lmx1b,Lonrf3,Loxl1,Loxl4,Lrfn1,Lrfn3,Lrig1,Lrp3,Lrrc38,Lrrc75b,Maf,Maneal,Map7d2,Mblac2,Medag,Megf11,Meioc,Mgat3,Mgat5b,Mir203,Mir219a-2,Mir34b,Mir6973b,Mmp24,Mpped1,Msantd3,Mxd4,Myrip,Nckap1,Nell2,Neo1,Nes,Neurod1,Nfatc4,Nfia,Nkx2-4,Nol4l,Nova1,Nr2f1,Nr5a1,Nrxn2,Ntm,Nxph4,Otx1,Panx2,Paqr9,Pax9,Pde3b,Pde8b,Pdlim4,Pik3cb,Pld1,Plekhh2,Plxdc1,Podn,Podxl,Prdm16os,Prex2,Prkar1b,Prmt8,Prok2,Prrxl1,Psd,Ptf1a,Pth1r,Ptpn12,Ptprt,Pygo1,Rab11fip4,Rasgef1a,Rasgrf1,Rbfox2,Rbp4,Rbpms2,Reep1,Reln,Rgma,Rgmb,Rimklb,Rims2,Rims4,Rxra,Sall3,Scarf2,Scube2,Sdc3,Sel1l3,Septin8,Sestd1,Shisa7,Slc41a2,Slc4a4,Slit1,Smarcd3,Smpd3,Sox1,Src,Stxbp5l,Syde2,Syne2,Syt15,Syt16,Tbx21,Tbx4,Tcea3,Tcfl5,Tle1,Tlx3,Tmem200b,Tmem30b,Tpbgl,Trank1,Trim71,Trio,Trp73,Tspan15,Ube2e2,Ugt8a,Unc5a,Unc5d,Unc80,Usp13,Usp35,Vash2,Vat1l,Wipf1,Wnk2,Wnt4,Wnt5b,Wnt6,Zfp385b,Zfp516,Zfp618
z-dna	miR-744	Promoter (<=1kb)	cCRE & CTCF	311	2310014F06Rik,2610316D01Rik,9130213A22Rik,A330040F15Rik,A730035I17Rik,Abi2,Abr,Acvr2b,Adam11,Adam22,Adamts1,Adamts14,Adamtsl5,Adcy7,Adrb1,Ajap1,Aldh1a2,Amotl1,Ank1,Antxr1,Apcdd1,Aqp5,Arhgap42,Arhgef7,Arvcf,Asap1,Asph,Asxl3,Atoh7,Atp8b1,Auts2,B230208B08Rik,BC067074,Bend7,Bmp2,C130074G19Rik,C530008M17Rik,Cacna1c,Cacna1h,Cacna2d1,Caln1,Camkk1,Camkv,Cblc,Ccser1,Cdh4,Chsy3,Clec2l,Cnih3,Cnr1,Cntn1,Coro2b,Cracr2b,Crim1,Crip2,Csmd1,Ctsf,Cuedc1,Cux1,D630045J12Rik,Dagla,Dapk1,Degs2,Deptor,Dio3os,Dipk2a,Dlgap2,Dlgap4,Dlx4,Dmxl2,Dnmbp,Dock1,Dock5,Dok7,Dst,Dusp8,Ebf4,Ecel1,Efna5,Elf2,Elovl4,Epb41l1,Epb41l4b,Ephx4,Epn2,Erbb2,Etl4,Fam13c,Fam171a1,Fam189a1,Fam189a2,Fam78a,Fgd4,Fgf18,Fibcd1,Foxi3,Foxo3,Foxo6,Frat2,Fsd1l,Fut9,Gabrg3,Gad1os,Galnt2,Gamt,Gbx1,Gfra1,Gli2,Gm11837,Gm13889,Gm17182,Gm20646,Gm22238,Gm266,Gm26833,Gm2694,Gm28050,Gm29340,Gm38708,Gm40493,Gm42778,Gm42922,Gm43517,Gm45091,Gm47163,Gm50063,Gm6277,Gm8983,Gm960,Gm9924,Gnai1,Grip1,Hcn1,Hcn2,Hectd2,Hecw2,Homer3,Hoxd3os1,Hrk,Igdcc4,Igf2bp2,Igfbpl1,Il17d,Ildr2,Insyn1,Irs1,Isl1,Ism2,Itga3,Jmy,Kazn,Kcnf1,Kcng1,Kcnma1,Kcnmb4,Kdelr3,Khdrbs2,Khdrbs3,Kif17,Kif27,Kif3a,Klhl32,Lef1,Lmo1,Lonrf2,Lrig3,Lrp3,Lrrc75a,Ltbp4,Luzp1,M5C1000I18Rik,Mast4,Mboat2,Mcam,Met,Mfsd4a,Mfsd6l,Mir6392,Mmp15,Mmp17,Mn1,Mtcl1,Mycl,Nags,Nalcn,Ncs1,Nedd4l,Nefh,Nefm,Neurl1b,Nexmif,Nfib,Nfix,Ngef,Nkain1,Nkain2,Nol4,Nol4l,Nos1ap,Nova1,Nox4,Npr1,Nptx2,Nptxr,Nr2f2,Nrg1,Nsd1,Ntrk1,Oaf,Osbpl6,Pard3b,Pawr,Pcsk6,Pdgfc,Pdzrn3,Peg12,Pex5l,Pgbd5,Phf10,Phyhipl,Plekha7,Plxna1,Plxna2,Pm20d2,Pmp22,Pnck,Pou3f2,Ppp1r9a,Ppp4r4,Prickle1,Prickle2,Prrt4,Prtg,Ptov1,Ptpn14,Ptprk,Ptprm,Ptprz1,Rac3,Rad51ap2,Radil,Rasgef1c,Rbms1,Rbpms,Rhou,Rnf165,Ror1,Rras2,Rtn4r,Ryr3,Samd5,Schip1,Scn3b,Scn5a,Scn8a,Scube3,Sema3f,Septin5,Sertad4,Sh2d4a,Sh3bp4,Shisal1,Sirpa,Slc24a4,Slc35d3,Slc47a2,Slc4a11,Smad9,Snx24,Sorcs1,Spire1,Spred1,Sptbn1,Sptbn2,Srcin1,Srsf12,Stk32c,Sybu,Syndig1l,Syngr3,Tafa5,Tanc2,Tbx15,Tcfl5,Tead4,Tmem158,Tmem178,Tmem30b,Tmod2,Tnfaip8l3,Tnfrsf11a,Tox,Tspan4,Ttyh1,Tunar,Uncx,Vash1,Vegfc,Vsig10,Whrn,Wnt4,Wnt9b,Wwc1,Wwc2,Zbtb7c,Zbtb8a,Zfhx3,Zfp521,Zfp704,Zfyve28,Zswim5
z-dna	miR-744	Promoter (<=1kb)	cCRE & LINE/LTR	3	B230312C02Rik,Lca5l,Zfp711
z-dna	miR-744	Promoter (<=1kb)	LINE/LTR	2	Gm15105,Gm6659
z-dna	miR-744	Promoter (<=1kb)	LINE/LTR & CTCF	0	
